Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.19725886	0.59880483	0.3131924	-3.364097	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	68.0	1.8325089	0.8947368	0.0	-inf	0.0	0.034693375	0.021043172	0.069395	-0.0047447057	1.0	0.0	1.0	1.0	69.0	2.0	0.3010299956639812	0.05191725	0.18571337	0.58966887	-0.3813168	0.0	0.0	0.0	0.0	-0.0013522953	-0.012176038	0.083964214	71.91222	-0.036307596	-8.04194	1.3522716	0.015185733	0.094	8.0	3.074195384979248	4000
1	-0.63961643	2.7449949	3.6356068	-11.83392	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	119.0	2.075547	0.90839696	0.0	-inf	0.0	-1.4557607	0.5451279	-0.7347061	-2.0726938	0.5	0.5	1.0	0.0	397.625	2.0	0.3010299956639812	-0.1346331	0.1599709	0.085268244	-0.8270834	8.006081	0.8168022	8.661681	2.1296535	-0.0013919361	-0.012363015	0.64671314	54.598606	-0.15145466	-7.0036764	1.3919652	0.015105895	0.13749999	22.0	6.1191933155059814	8000
2	-1.3706499	4.0424685	7.0618973	-9.558015	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	146.0	2.164353	0.90123457	0.0	-inf	0.0	-1.3418696	0.011124721	-1.3227718	-1.3542565	1.0	0.0	1.0	1.0	195.75	2.0	0.3010299956639812	-0.4565424	1.1721318	1.6973819	-4.873372	15.490853	0.3514234	15.746967	12.620354	-0.0013828091	-0.012481457	0.8637871	34.08467	-0.37271267	-3.9273648	1.382792	0.015025647	0.102	26.0	8.536176443099976	12000
3	-0.20715468	4.00775	7.818614	-11.679874	0.041666668	0.1998263	1.0	0.0	489.95834	1.0	0.0	0.005263158	0.9583333	0.19982632	1.0	0.0	169.0	2.2278867	0.8894737	1.0	0.0	0.005263158	-2.3395624	0.011393403	-2.3195212	-2.3530118	1.0	0.0	1.0	1.0	227.5	2.0	0.3010299956639812	-1.2747679	1.6065893	2.6410317	-5.7353716	20.888824	0.07054617	20.94977	20.240623	-0.0013404107	-0.0149456095	1.3044361	27.704447	-0.6992751	-1.6054969	1.3404593	0.009526522	0.121249996	79.0	11.067461490631104	16000
4	1.1544145	4.0195646	10.387213	-8.242683	0.0	0.0	0.0	0.0	500.0	1.0	0.0	0.004716981	1.0	0.0	1.0	1.0	187.0	2.2718415	0.8820755	1.0	0.0	0.004716981	-2.2808414	0.004017048	-2.2757394	-2.2879117	1.0	0.0	1.0	1.0	275.75	2.0	0.3010299956639812	-0.26046345	1.2230222	3.4399886	-4.759	23.085993	2.8830252	23.910654	0.7684175	-0.001342509	-0.006363203	1.032007	23.227776	-0.47975275	-0.9780779	1.3425044	0.015305817	0.10925	14.0	13.311367988586426	20000
5	1.1247389	5.172817	10.148496	-6.3742385	0.0	0.0	0.0	0.0	500.0	1.0	0.0	0.0043668123	1.0	0.0	1.0	1.0	200.0	2.30103	0.8733624	1.0	0.0	0.0043668123	-2.107787	0.003685033	-2.1038632	-2.1156642	1.0	0.0	1.0	1.0	307.125	2.0	0.3010299956639812	0.51359	1.0232798	3.3643763	-1.9266666	25.700344	0.07408123	25.765217	25.106056	-0.0013243407	-0.009092087	0.90229887	20.185513	-0.28284737	-0.16179419	1.324331	0.018415399	0.1195	8.0	15.534791707992554	24000
6	1.6244245	2.967255	9.306089	-2.0789568	0.0	0.0	0.0	0.0	500.0	1.0	0.0	0.0040650405	0.9230769	0.26646933	1.0	0.0	212.0	2.326336	0.86178863	1.0	0.0	0.0040650405	-1.9245694	0.0034269015	-1.9184786	-1.9291769	1.0	0.0	1.0	1.0	349.0	2.0	0.3010299956639812	-0.12968194	1.1435884	3.6290615	-3.6641312	24.8415	0.4437708	24.986063	17.428404	-0.0013139993	-0.0024404572	0.564021	21.094608	-0.2596619	-0.7170105	1.3139863	0.015625246	0.11725001	4.0	17.69883680343628	28000
7	1.9232436	4.4582605	9.748125	-7.3530073	0.0	0.0	0.0	0.0	500.0	1.0	0.0	0.003787879	1.0	0.0	1.0	1.0	226.0	2.3541083	0.8560606	1.0	0.0	0.003787879	0.051934194	0.006024785	0.06427187	0.044029124	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.4461501	1.1141472	4.319581	-2.2672584	21.525938	3.5538688	23.346151	0.0	-0.0013755187	-0.0043812105	0.5341204	21.370216	-0.13165896	-1.3315697	1.3755381	0.018742017	0.15225	4.0	20.1153507232666	32000
8	2.2650838	3.257437	6.542524	-4.230042	0.0	0.0	0.0	0.0	500.0	1.0	0.0	0.0035211267	0.875	0.3307189	1.0	0.0	240.0	2.3802114	0.8450704	1.0	0.0	0.0035211267	0.30639175	0.029196959	0.35590473	0.27337742	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.61213386	1.1041455	5.1976304	-2.945346	17.865295	4.151344	23.566732	9.146561	-0.0013579801	-0.007349514	0.63260746	22.558674	-0.15204208	-1.3249426	1.3579736	0.017874442	0.13625	5.0	22.444270133972168	36000
9	-1.3694184	2.4979446	2.0573967	-5.7998533	0.0	0.0	0.0	0.0	500.0	1.0	0.0	0.0033898305	0.625	0.48412293	1.0	0.0	245.0	2.389166	0.8305085	1.0	0.0	0.0033898305	0.52253616	0.04586856	0.6063769	0.4583772	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	1.3624918	1.380667	6.3990684	-2.7570946	18.779587	4.446696	25.360601	2.1690435	-0.0013635419	-0.009129152	1.1963469	14.994925	-0.8346031	-5.4114237	1.3635155	0.018268684	0.181	5.0	24.601468801498413	40000
