Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	0.5657388	1.7520775	8.158108	-1.9925116	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	56.0	1.748188	0.875	0.0	-inf	0.0	1.962832	0.19976875	2.2537746	1.7207987	1.0	0.0	1.0	1.0	122.0	2.0	0.3010299956639812	-0.048411444	0.10011034	0.14356413	-0.32999158	0.010287562	0.034953453	0.21444725	0.0	-0.0015389677	-0.013225875	0.37846327	66.29147	-0.07285941	-7.9723587	1.5390763	0.015233489	0.12775001	16.0	3.8782992362976074	4000
1	0.5001379	2.4509254	6.6179357	-8.3621435	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	94.0	1.9731278	0.8867925	0.0	-inf	0.0	0.62934816	0.09285773	0.7298886	0.48138198	1.0	0.0	1.0	1.0	129.0	2.0	0.3010299956639812	0.19400004	0.32521582	0.9208972	-0.74123615	7.6768665	2.6998334	9.397457	0.0	-0.0015186407	-0.01455882	0.5561079	49.90308	-0.080514684	-7.6401987	1.518695	0.011414647	0.10575	79.0	7.692875862121582	8000
2	-0.71012336	3.9543164	7.107001	-8.66488	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	116.0	2.064458	0.8787879	0.0	-inf	0.0	0.53618515	0.05822936	0.6531916	0.47117057	1.0	0.0	1.0	1.0	151.625	2.0	0.3010299956639812	0.2986608	0.36181077	1.0821037	-1.0419856	15.519165	0.55543023	15.859135	13.064855	-0.0015103817	-0.005844121	1.0765337	29.670395	-0.15594572	-3.226955	1.5104073	0.015872177	0.12225	4.0	10.955943584442139	12000
3	-1.5031275	4.7457876	14.3349285	-10.305967	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	143.0	2.1553361	0.8773006	0.0	-inf	0.0	0.19161877	0.054189336	0.28252068	0.098702356	1.0	0.0	1.0	1.0	196.875	2.0	0.3010299956639812	0.04873313	0.37141708	0.90291786	-0.74840844	20.691277	0.14586258	20.791666	19.324896	-0.0014981832	-0.011542723	1.1930475	29.638168	-0.1816291	-1.8227091	1.4981767	0.015659455	0.12625	15.0	14.433850288391113	16000
4	-1.8665252	3.8717198	4.7503214	-9.893451	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	161.0	2.206826	0.87027025	0.0	-inf	0.0	-1.173209	0.07951271	-1.0455906	-1.2673254	1.0	0.0	1.0	1.0	251.75	2.0	0.3010299956639812	-0.16185644	0.4133328	0.8885827	-1.1553975	24.586102	0.1919425	24.673195	22.4123	-0.0014870074	-0.012836411	0.9351268	21.871933	-0.18403046	-0.4431858	1.4870002	0.013057252	0.1295	79.0	17.926202297210693	20000
5	-1.0495939	5.2597275	7.48989	-9.91705	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	173.0	2.2380462	0.8606965	0.0	-inf	0.0	-0.53352636	0.008337667	-0.52122754	-0.54678065	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.36526436	0.4145335	0.86347204	-1.0321449	25.479994	4.5411277	26.506165	0.0	-0.0014747935	-0.016827492	1.3487449	19.772644	-0.27913815	-0.49897146	1.4747922	0.012138183	0.1385	79.0	21.438785314559937	24000
6	-0.84721816	2.6423342	4.073223	-5.3708916	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.5555556	0.49690402	1.0	0.0	178.0	2.25042	0.8356807	0.0	-inf	0.0	-1.287231	0.03150128	-1.2413146	-1.3376672	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.3855174	0.49037346	0.94954383	-1.164463	24.059132	3.5080602	25.307734	0.0	-0.0014679469	-0.011566981	0.8950856	19.508606	-0.18680473	-6.9433823	1.4679091	0.013855339	0.1665	79.0	24.93623685836792	28000
7	0.46648303	4.0878253	7.379631	-4.5607862	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.6	0.48989794	1.0	0.0	184.0	2.2648177	0.8141593	0.0	-inf	0.0	-1.603817	0.058750845	-1.5254871	-1.7068068	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.18209317	0.51073134	0.90954924	-1.1553936	8.209637	3.0028868	20.953001	0.0	-0.0014004335	-0.016390793	0.66525745	14.564893	-0.04051519	-1.6112039	1.4004214	0.011693663	0.13100001	79.0	28.44070601463318	32000
8	-3.2690103	4.4296136	4.499685	-10.715753	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.125	0.3307189	1.0	0.0	185.0	2.2671716	0.78723407	0.0	-inf	0.0	-0.04002527	0.026874347	-0.018991934	-0.09976962	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.21289547	0.43266922	0.9781389	-1.1924841	3.4352026	1.3554039	7.121861	0.0	-0.0014080331	-0.0084159225	0.76905656	4.1811934	-0.112394884	-1.6626198	1.4080755	0.015057879	0.15025	68.0	31.85235595703125	36000
9	-0.9386532	2.1274345	2.3341217	-4.6720085	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.8	0.4	1.0	0.0	193.0	2.2855573	0.7751004	0.0	-inf	0.0	-0.044361874	0.006163714	-0.035719667	-0.05514196	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.38302407	0.42745543	0.9400261	-0.9601172	0.5166591	0.22464	0.9167485	0.0	-0.0013361908	-0.004299091	0.4021277	17.402967	-0.07808227	-0.9120927	1.3361707	0.015436526	0.12375	5.0	35.12481474876404	40000
