Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	0.74795115	2.3501487	10.731188	-1.5908805	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	57.0	1.7558749	0.8769231	0.0	-inf	0.0	2.8888052	0.45870653	3.375677	2.1384184	1.0	0.0	1.0	1.0	131.375	2.0	0.3010299956639812	-0.052779377	0.0941118	0.14327054	-0.31226775	0.0062939264	0.026084717	0.19156907	0.0	-0.0015484467	-0.014805437	0.5854875	67.24538	-0.06535981	-7.817726	1.5484817	0.015130369	0.1145	48.0	4.008119821548462	4000
1	0.9990733	3.0012763	12.595925	-2.8818612	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	98.0	1.9912261	0.8909091	0.0	-inf	0.0	1.406876	0.24878666	1.7563336	1.00899	1.0	0.0	1.0	1.0	118.75	2.0	0.3010299956639812	0.2679522	0.24845177	0.94013375	-0.59394455	8.206849	1.7835927	9.351678	0.0	-0.0015025046	-0.014362356	0.7168162	50.97637	-0.07604537	-6.7135735	1.5024918	0.009437981	0.096750006	79.0	7.899614095687866	8000
2	1.144692	3.5136077	12.808474	-6.3722754	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	129.0	2.1105897	0.8896552	0.0	-inf	0.0	0.52532744	0.16316904	0.7811606	0.3217126	1.0	0.0	1.0	1.0	140.5	2.0	0.3010299956639812	0.28182915	0.28352752	0.83004683	-0.69028276	15.871211	0.15179983	16.005568	14.82099	-0.001487541	-0.0067453515	0.8430027	37.949776	-0.16616488	-4.620508	1.4875314	0.016071796	0.14475	7.0	11.436375379562378	12000
3	-0.77151304	3.86564	7.945132	-8.658547	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	159.0	2.2013972	0.8882682	0.0	-inf	0.0	1.5806723	0.08724536	1.7071441	1.4417826	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.36530432	0.52664	1.4012574	-0.7841717	21.729658	0.15918703	21.809694	18.622183	-0.0015078671	-0.005820944	1.0057391	30.740276	-0.18773134	-3.138177	1.5078577	0.016666852	0.12099999	5.0	15.136733531951904	16000
4	-2.5851543	5.0364423	10.797919	-11.381407	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	180.0	2.2552724	0.88235295	0.0	-inf	0.0	1.5987833	0.11468156	1.7633607	1.4749554	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.020651016	0.5822408	1.2437733	-1.3559142	26.555927	0.099809736	26.610874	25.359	-0.0015444234	-0.006949416	1.3587985	23.056496	-0.24669704	-0.62270546	1.5444088	0.016000018	0.20300001	7.0	18.668049812316895	20000
5	3.0054343	3.5265996	11.434674	-3.9194727	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	196.0	2.292256	0.875	0.0	-inf	0.0	0.52060276	0.038478505	0.57231456	0.47073716	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.51702857	0.43372184	0.9313777	-1.3791183	27.514257	4.9270372	28.63217	0.0	-0.0015429966	-0.021231819	1.4200761	22.675512	-0.33819318	-1.3427806	1.5430102	0.015009409	0.176	73.0	22.335787534713745	24000
6	-1.5818229	4.6570516	5.613727	-11.112359	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.72727275	0.44536176	1.0	0.0	204.0	2.3096302	0.85714287	0.0	-inf	0.0	0.45455095	0.020590387	0.4898254	0.42557627	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.2459312	0.49762592	1.1826462	-1.2817261	28.57131	0.15248373	28.66811	26.850632	-0.0015277825	-0.015080038	0.8998783	21.121197	-0.2101466	-1.9257326	1.5277867	0.011718297	0.15375	79.0	25.93981432914734	28000
7	3.5132356	1.839477	6.5648165	0.95835054	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.5	0.5	1.0	0.0	208.0	2.3180633	0.8353414	0.0	-inf	0.0	0.6856028	0.06649043	0.7936388	0.5958598	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.1478331	0.62081945	1.4693353	-1.2208658	24.381334	0.65726644	24.74237	18.65018	-0.0015250146	-0.008897241	0.7995962	18.733135	-0.18151376	-8.101341	1.5249907	0.013716384	0.13225001	79.0	29.423917770385742	32000
8	4.7614675	5.3040724	11.202854	-6.3977	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.125	0.3307189	1.0	0.0	209.0	2.3201463	0.81007755	0.0	-inf	0.0	0.10703127	0.0104150865	0.121778466	0.08935657	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.35857832	0.48254782	1.1839255	-0.93580484	5.9329433	1.8996099	11.985393	0.0	-0.0014893822	-0.004089989	1.0306829	5.842593	-0.10281038	-3.102201	1.4894073	0.020838229	0.1615	6.0	32.676560401916504	36000
9	1.4315333	5.109499	10.85102	-9.040706	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.25	0.4330127	1.0	0.0	211.0	2.3242824	0.78731346	0.0	-inf	0.0	-0.03797174	0.014388474	-0.012647159	-0.055543162	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.55008566	0.3804831	1.1768342	-0.90433323	0.9308902	0.46549287	2.506382	0.0	-0.0015028119	-0.0063726865	0.8253815	4.940709	-0.08969052	-0.1730167	1.5027971	0.016514178	0.15875	7.0	35.93191432952881	40000
10	-0.26914003	3.6801872	8.146025	-4.9769773	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.44444445	0.49690402	1.0	0.0	215.0	2.3324385	0.7706093	0.0	-inf	0.0	0.040675573	0.009461312	0.053677756	0.026514206	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.49660614	0.3936328	1.2421695	-0.48212656	0.52687114	0.13276412	1.0571398	0.0	-0.0014608279	-0.003918967	0.72714615	8.794013	-0.22912335	-0.1807396	1.4608395	0.015013231	0.15825	8.0	39.21858859062195	44000
11	1.416002	4.738254	9.318213	-7.3153443	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.375	0.48412293	1.0	0.0	218.0	2.3384564	0.7517241	0.0	-inf	0.0	0.014583336	0.0048117694	0.02489152	0.009514271	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.07860022	0.4622601	1.1949317	-1.1858158	0.8888947	0.94982255	6.09981	0.0	-0.0014269352	-0.005637762	0.6922425	7.1821184	-0.13700296	-0.12808537	1.4269111	0.015436962	0.18375	8.0	42.48445177078247	48000
12	4.3301487	2.6138098	8.114508	-1.7473731	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.5	0.5	1.0	0.0	223.0	2.3483047	0.7359736	0.0	-inf	0.0	0.0052023586	0.0025284481	0.009315257	0.002168359	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.13836747	0.46837336	1.4190149	-1.209246	0.6124016	0.20272875	1.413432	0.0	-0.0014791489	-0.003846231	0.66010165	10.414686	-0.2782591	-0.041213118	1.4791583	0.016708985	0.154	7.0	45.80915331840515	52000
13	0.8353994	2.3210127	4.847526	-3.9675415	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	223.0	2.3483047	0.7170418	0.0	-inf	0.0	0.012589102	0.005147595	0.019627267	0.0040644794	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.5710608	0.29341856	1.1275823	-0.47013423	0.4553921	0.2338936	1.348082	0.0	-0.0013452619	-0.016005555	0.2127459	0.10080624	-0.09012524	-0.09003768	1.3452682	0.013541933	0.147	79.0	49.312031745910645	56000
14	2.7709568	2.8911097	9.7197895	0.6250603	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.125	0.3307189	1.0	0.0	224.0	2.350248	0.7	0.0	-inf	0.0	0.016192561	0.006664386	0.025217012	0.0036503915	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.3763624	0.27958974	1.0966357	-0.78084946	0.086545974	0.10554945	0.8371351	0.0	-0.0013463236	-0.006448105	0.23388718	2.3912084	-0.070142336	-0.012192047	1.3463132	0.015267358	0.11525001	32.0	52.64558529853821	60000
15	2.5428858	2.5339983	6.910709	0.58842903	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	224.0	2.350248	0.68292683	0.0	-inf	0.0	0.0660875	0.011469759	0.08469211	0.050510637	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.31929633	0.25244513	1.17586	-0.70364064	0.11534639	0.0838105	0.45070136	0.0	-0.0012889318	-0.010943178	0.14607248	0.007494533	-0.027981574	-0.005380578	1.2889049	0.0069370368	0.10275	79.0	56.10020875930786	64000
16	2.3897974	2.101993	6.9618573	0.42749977	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	224.0	2.350248	0.6666667	0.0	-inf	0.0	0.53427905	0.060235944	0.6341064	0.44422215	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.43418726	0.22477166	1.2192297	-0.56906563	0.025274387	0.04619827	0.3034292	0.0	-0.0013072938	-0.011826079	0.15191466	0.001481946	-0.037711773	-0.0006406262	1.3072958	0.007842972	0.073	79.0	59.56645846366882	68000
17	6.294606	5.062155	14.916309	1.5601501	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.5	0.5	1.0	0.0	228.0	2.357935	0.6570605	0.0	-inf	0.0	0.089895405	0.009558239	0.10725689	0.07819627	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.41253135	0.2473793	1.1288255	-0.08475082	0.035836495	0.06464514	0.511766	0.0	-0.0013226839	-0.0124608185	0.7134537	9.408956	-0.15159912	-0.17297783	1.322695	0.0094785215	0.15100001	79.0	63.048372983932495	72000
18	5.533993	7.4663157	25.033464	1.4391686	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.125	0.3307189	1.0	0.0	229.0	2.3598356	0.64325845	0.0	-inf	0.0	0.04491198	0.0088899005	0.061453797	0.034855157	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.7298772	0.31437322	1.3569281	0.11752838	0.6587598	0.4379773	2.8282912	0.0	-0.0012364984	-0.0068998914	0.5915351	2.4507537	-0.05312511	-0.11038522	1.2364938	0.0055786623	0.143	79.0	66.50417280197144	76000
