Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	0.53682166	1.8698035	9.233307	-3.121155	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	53.0	1.7242758	0.86885244	0.0	-inf	0.0	-0.44318867	0.17170498	-0.13315773	-0.73324764	1.0	0.0	1.0	1.0	209.25	2.0	0.3010299956639812	0.028379735	0.062127482	0.20979004	-0.17908645	0.008015194	0.021317296	0.1473178	0.0	-0.0014599077	-0.016835496	0.30349717	64.56322	-0.061503395	-7.3073797	1.4599288	0.011855315	0.10575	79.0	4.335044622421265	4000
1	0.9524339	1.8517708	9.407849	-0.6330045	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	86.0	1.9344984	0.877551	0.0	-inf	0.0	0.1834518	0.03079143	0.23511145	0.14059244	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.18200754	0.2775119	0.88026047	-0.31422323	8.17145	1.0940455	9.084352	0.8659297	-0.001475017	-0.017458022	0.35383838	43.131508	-0.079332404	-5.3281965	1.4750159	0.009414642	0.0925	79.0	8.389140367507935	8000
2	2.57642	3.778522	14.748877	-0.604405	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	101.0	2.0043213	0.8632479	0.0	-inf	0.0	0.31575388	0.06791389	0.40972474	0.2156842	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.23958486	0.22428119	0.7098866	-0.5380452	15.182877	0.32671943	15.378397	12.479829	-0.0015029665	-0.012110829	0.60854274	22.924889	-0.09051615	-0.3506117	1.5029504	0.015563784	0.13375	15.0	11.907734870910645	12000
3	3.0138075	3.668293	9.069924	-6.081834	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.93333334	0.24944383	1.0	0.0	115.0	2.0606978	0.8455882	0.0	-inf	0.0	-1.1462429	0.250509	-0.8129666	-1.5758002	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.45619988	0.28468305	1.0803102	-0.34394816	15.9754	2.4783244	17.105145	0.0	-0.0014762431	-0.0049468987	0.6701188	22.766214	-0.14989264	-0.55354357	1.4762517	0.015593783	0.14575	8.0	15.397219896316528	16000
4	-0.053755976	3.13614	7.4522285	-4.5454583	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.6	0.48989794	1.0	0.0	121.0	2.0827854	0.8066667	0.0	-inf	0.0	-1.2008109	0.11364638	-1.066503	-1.4249732	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.50048727	0.3714144	1.2453145	-0.5816671	18.002857	0.4276013	18.304274	14.866178	-0.0014218614	-0.008723978	1.2577436	16.698303	-0.17389837	-3.341731	1.4218473	0.01553301	0.1595	8.0	18.821144819259644	20000
5	-6.3332953	3.7249055	0.99166775	-10.283291	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.8	0.4	1.0	0.0	129.0	2.1105897	0.7865854	0.0	-inf	0.0	-0.49135178	0.04941142	-0.40318927	-0.55511475	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.1573144	0.57006174	1.265762	-1.1357802	9.810683	4.233092	13.777292	0.0	-0.0013553093	-0.0071761007	1.4367814	17.571732	-0.24183112	-1.3998988	1.355291	0.020760166	0.16075	5.0	22.25179409980774	24000
6	-2.8974512	7.665634	9.4754505	-15.627736	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.33333334	0.4714045	1.0	0.0	132.0	2.120574	0.7542857	0.0	-inf	0.0	-1.2196581	0.10120425	-0.9883863	-1.3238194	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.15357278	0.42435643	1.194299	-1.1642408	8.778018	1.2285615	12.140577	3.6969604	-0.0013914853	-0.0051539913	1.1157945	10.379593	-0.0884084	-3.147531	1.3914816	0.017491855	0.19375	5.0	25.681042432785034	28000
7	-2.5734599	5.760524	8.196262	-13.628783	0.083333336	0.2763854	1.0	0.0	473.16666	1.0	0.0	0.005235602	0.6666667	0.4714045	1.0	0.0	140.0	2.146128	0.7329843	1.0	0.0	0.005235602	-0.23950575	0.008088426	-0.22704197	-0.25016505	1.0	0.0	1.0	1.0	175.25	2.0	0.3010299956639812	-0.2930122	0.3433694	0.7449273	-0.90955406	1.5780009	0.5883329	3.462189	0.38946682	-0.0014217421	-0.0019048485	1.2135568	17.230436	-0.13271734	-0.5128498	1.4217528	0.016234564	0.15724999	6.0	29.045984268188477	32000
8	-0.44233322	2.448237	3.7692196	-7.2550316	0.05263158	0.22329688	1.0	0.0	484.1579	2.0	0.30103	0.0093896715	0.94736844	0.22329687	1.0	0.0	158.0	2.198657	0.74178404	1.0	0.0	0.0046948357	-2.7667525	0.008009381	-2.7556295	-2.78462	1.0	0.0	1.0	1.0	240.375	2.0	0.3010299956639812	-0.28787225	0.48396042	0.5958906	-1.1418406	3.903558	2.2094252	6.6243315	0.0	-0.0014401134	-0.013304495	0.8548856	32.39034	-0.22442749	-5.8824754	1.4401059	0.014447543	0.15975	79.0	32.75718116760254	36000
9	-1.9278958	2.4003887	2.959128	-6.81829	0.07692308	0.26646933	1.0	0.0	480.69232	3.0	0.47712123	0.013043478	0.84615386	0.36080122	1.0	0.0	169.0	2.2278867	0.73478264	2.0	0.30103	0.008695652	-1.2696036	0.020510513	-1.244284	-1.3016031	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.2553251	0.28617495	0.3968305	-0.7968498	13.467295	2.692458	14.36913	0.0	-0.0014544837	-0.009552612	0.8022515	20.096306	-0.069216065	-0.3776636	1.4544668	0.01589694	0.12975001	25.0	36.25104260444641	40000
10	-1.0217195	2.8177187	6.052087	-6.241235	0.0	0.0	0.0	0.0	500.0	3.0	0.47712123	0.012295082	0.6363636	0.4810457	1.0	0.0	176.0	2.2455127	0.72131145	2.0	0.30103	0.008196721	-0.035236962	0.0027234121	-0.030384928	-0.040424604	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.28261364	0.2596529	0.2308245	-0.8196438	13.767383	1.0488749	14.938299	8.329168	-0.0013797507	-0.008327211	0.4520657	16.129097	-0.026911322	-2.6507683	1.3797607	0.015659116	0.197	21.0	39.76827073097229	44000
11	-3.4732099	3.700799	-0.22540882	-12.571572	0.0	0.0	0.0	0.0	500.0	3.0	0.47712123	0.011904762	0.0	0.0	0.0	0.0	176.0	2.2455127	0.6984127	2.0	0.30103	0.007936508	0.00095804717	0.0018175445	0.0037729368	-0.002583123	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.2278177	0.22781807	0.64516294	-0.75747365	4.5986824	3.5332994	13.1305685	0.0	-0.0012598801	-0.0137810325	0.47557917	4.0771217	-0.03998192	-3.5858533	1.2599367	0.0208589	0.2565	5.0	43.08761811256409	48000
12	-1.2371936	1.0889641	0.23990077	-2.7027817	0.0	0.0	0.0	0.0	500.0	3.0	0.47712123	0.011538462	0.0	0.0	0.0	0.0	176.0	2.2455127	0.6769231	2.0	0.30103	0.0076923077	-0.03462121	0.0036538204	-0.030537741	-0.042539183	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.33037928	0.1692304	0.45179206	-0.6176016	0.74408317	0.42385286	2.140462	0.18482332	-0.0011973539	-0.010278799	0.17152588	0.25333637	-0.023675248	-0.23119047	1.1973518	0.015421122	0.19325	16.0	46.50655770301819	52000
13	-1.9416493	2.746607	0.4579632	-9.058246	0.0	0.0	0.0	0.0	500.0	3.0	0.47712123	0.01119403	0.0	0.0	0.0	0.0	176.0	2.2455127	0.6567164	2.0	0.30103	0.0074626864	-0.017320089	0.0014839966	-0.014718448	-0.019660667	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.21481986	0.215361	0.60983074	-0.58889484	0.10835294	0.11086921	0.6505831	0.0	-0.0012458488	-0.007759342	0.21560714	0.010738982	-0.02505517	-0.0067580584	1.2458532	0.016559022	0.122250006	7.0	49.933921575546265	56000
