Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	0.50992745	2.310363	12.446318	-6.058513	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	49.0	1.690196	0.8596491	0.0	-inf	0.0	1.7490436	0.18524946	2.0297468	1.5668741	1.0	0.0	1.0	1.0	128.875	2.0	0.3010299956639812	0.03522011	0.073323585	0.24710754	-0.17295949	0.011305091	0.033298682	0.26196146	0.0	-0.001459742	-0.016379204	0.4026454	61.178	-0.049569815	-7.3736286	1.4597323	0.010096924	0.107250005	79.0	4.118284463882446	4000
1	2.0184596	3.475229	14.442684	-0.4958918	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	85.0	1.9294189	0.87628865	0.0	-inf	0.0	6.71216	1.7753075	11.172137	5.146986	1.0	0.0	1.0	1.0	230.75	2.0	0.3010299956639812	0.18615265	0.21439613	0.7566716	-0.43916893	8.364255	0.9674057	9.074997	0.5569948	-0.0014599822	-0.01732465	0.9133781	45.484886	-0.096042365	-5.2636585	1.4599932	0.012103185	0.09675	79.0	8.00290060043335	8000
2	3.5731604	3.7354617	14.755172	-4.193158	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	106.0	2.0253057	0.86885244	0.0	-inf	0.0	12.223587	1.44163	13.320724	9.191583	1.0	0.0	1.0	1.0	255.375	2.0	0.3010299956639812	0.34398848	0.3658912	0.86854607	-0.9680944	14.664013	2.6018643	15.518104	0.0	-0.0014912225	-0.016285291	1.0872297	28.940481	-0.13103126	-2.2171807	1.4912064	0.008536795	0.109500006	79.0	11.666857957839966	12000
3	6.5042434	5.372304	16.465912	-2.1825566	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	123.0	2.089905	0.86013985	0.0	-inf	0.0	21.28286	1.520837	22.383402	18.199732	0.125	0.3307189	1.0	0.0	499.5	2.0	0.3010299956639812	0.5352562	0.3024252	1.0147412	-0.5872229	19.182625	0.73476744	19.418653	8.679897	-0.0014799554	-0.019732427	1.7469682	23.581778	-0.19755168	-0.68454933	1.4799726	0.012909452	0.15875	79.0	15.387230157852173	16000
4	2.8554251	10.308885	23.409609	-12.454533	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.9230769	0.26646933	1.0	0.0	135.0	2.1303337	0.84375	0.0	-inf	0.0	4.005816	0.8124599	5.321666	2.9963443	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.5883407	0.37351745	1.1847246	-0.47298616	21.599556	0.7212442	21.876608	14.6243725	-0.0014741048	-0.011804122	2.2307694	19.984055	-0.22431725	-0.26442194	1.4741019	0.015047716	0.13949999	22.0	18.8662109375	20000
5	3.6445205	7.7928576	15.205075	-11.291357	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.9166667	0.2763854	1.0	0.0	146.0	2.164353	0.82954544	0.0	-inf	0.0	8.663077	4.4135413	16.332075	4.5234127	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.24598503	0.5399713	1.2071201	-0.7489234	20.62069	2.095845	21.13191	0.0	-0.0014810897	-0.005592239	1.6317304	19.103043	-0.18712083	-0.427114	1.4810978	0.015600365	0.11225	7.0	22.232033014297485	24000
6	7.7213545	6.0512547	13.928577	-7.145803	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	156.0	2.1931245	0.8210526	0.0	-inf	0.0	10.38574	1.6927394	12.47185	7.878591	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.39744744	0.44438055	1.23405	-1.001237	19.425428	0.99325633	19.703905	7.912788	-0.0014719665	-0.0038083494	1.5410322	18.56524	-0.18359113	-0.4055786	1.4719597	0.01674002	0.10225	3.0	25.572877407073975	28000
7	8.449523	6.4612966	24.385345	-3.5200639	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.90909094	0.2874798	1.0	0.0	166.0	2.220108	0.8097561	0.0	-inf	0.0	1.4165874	0.09157141	1.543203	1.2914081	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.6500469	0.32138652	1.1520711	-0.41227183	17.65884	0.12508643	17.741556	16.133522	-0.0014322773	-0.00049730577	1.5046556	18.678022	-0.07781471	-0.3019929	1.4322821	0.015061611	0.12125	4.0	28.968554496765137	32000
8	2.7635553	8.035569	19.51582	-6.283303	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.6666667	0.47140452	1.0	0.0	172.0	2.2355285	0.78899086	0.0	-inf	0.0	2.300935	0.17091304	2.5231802	2.0413988	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.642264	0.2213529	0.99611044	-0.13595466	15.105285	2.9243207	16.023304	0.0	-0.0014545359	-0.011184728	1.5472839	15.989711	-0.13458028	-2.0716631	1.4545255	0.008625446	0.1475	79.0	32.53371787071228	36000
9	0.87609816	6.0770826	12.437628	-8.88514	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.625	0.48412293	1.0	0.0	177.0	2.2479732	0.7695652	0.0	-inf	0.0	6.4789724	0.33845946	7.0256243	6.0328364	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.5625151	0.3780725	1.2297564	-0.9256209	10.561834	2.2111616	11.54158	0.0	-0.0013727285	-0.0060793227	0.87220776	13.63294	-0.0362451	-1.499619	1.3727424	0.01926162	0.12075	5.0	35.874218225479126	40000
