Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	AverageQcVals	StdQcVals	MaxQcVals	MinQcVals	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.72507507	1.7095925	1.8884102	-6.6529784	4.3242865	1.8944082	11.601223	1.89328	71.0	233.51147	2.3683083	3.766314	4.3242865	1.8944082	11.601223	1.89328	233.51147	2.3683083	3.766314	54.0	1.7323937	0.87096775	-0.19623646	0.027946874	-0.16256541	-0.23979962	5.753484	0.2703716	6.243765	5.383277	82.375	2.0	0.3010299956639812	0.011916326	0.05760965	0.1711115	-0.14434135	0.021393092	0.03826882	0.19224182	0.0	0.102559574	0.42970154	1.3226347	-1.0365359	-0.0014912151	-0.01248599	0.45432645	-0.21805918	1.4912434	0.015104204	0.111	30.0	3.0086164474487305	4000
1	-1.6272291	3.4562693	4.3662844	-11.662434	3.9500957	1.8232458	11.373127	1.9097881	89.54762	400.08212	2.6021492	3.7044642	3.9500957	1.8232458	11.373127	1.9097881	400.08212	2.6021492	3.7044642	96.0	1.9822712	0.8888889	-0.8288359	0.21575153	-0.49235424	-1.1204666	5.5555573	0.27625436	6.050258	5.304263	189.625	2.043377637863159	0.31034863627716913	-0.5074713	0.674145	0.84960926	-2.5371795	0.25980383	0.16964869	0.8840572	0.0	0.14907075	1.5938975	4.489611	-3.5187542	-0.0014804201	-0.01730979	0.8569648	-0.13828154	1.4803631	0.015784297	0.07775	22.0	6.078732967376709	8000
2	-0.17622477	0.7920632	1.0581238	-7.420181	2.7858229	0.47195077	4.2263203	1.9642334	38.59406	682.04114	2.8338106	3.202071	2.7858229	0.47195077	4.2263203	1.9642334	682.04114	2.8338106	3.202071	197.0	2.2944663	0.92488265	-1.3665099	0.18974727	-1.032088	-1.6056743	5.2688155	0.24161206	5.665206	4.996825	183.875	2.0869028568267822	0.3195022335762403	-0.36269647	0.4542696	0.46569282	-4.5007186	1.0411011	0.31112963	1.9995304	0.32811046	-4.059745	12.174129	17.629515	-17.256536	-0.0016014595	-0.01234222	0.07455619	-0.045930516	1.6014379	0.015918374	0.0	4.0	9.107362031936646	12000
3	-0.13313366	0.3269782	0.4429825	-2.0195186	2.6491506	0.36047786	3.8654394	1.863934	33.760685	991.9917	2.9965081	2.970035	2.6491506	0.36047786	3.8654394	1.863934	991.9917	2.9965081	2.970035	314.0	2.4969296	0.94011974	-1.7976105	0.1660064	-1.5917957	-1.9940504	5.29165	0.26399893	5.6492977	4.820293	179.625	2.1295652389526367	0.32829094916822893	-0.1042761	0.2355799	0.26326036	-1.5529604	6.5775113	1.0985433	10.300272	2.963486	-12.830642	20.78421	28.424728	-27.713589	-0.0016074292	-0.016602308	0.011492026	-0.0008277016	1.607368	0.018168353	0.006	4.0	12.124016523361206	16000
4	-0.07677493	0.26697904	0.4688807	-1.7267618	2.7730649	0.3810116	4.008338	1.927381	34.350876	1308.1211	3.116648	2.8940732	2.7730649	0.3810116	4.008338	1.927381	1308.1211	3.116648	2.8940732	428.0	2.6314437	0.94690263	-2.1288748	0.1212763	-1.8394569	-2.220367	5.1481824	0.2892048	5.5851054	4.8034873	178.375	2.1718621253967285	0.33683225181922427	-0.09455183	0.20582853	0.29722425	-1.872379	12.14846	1.8532596	17.459854	6.2548537	-21.524952	26.226095	37.949787	-36.981987	-0.0015961714	-0.017727338	0.007840553	-0.00075104437	1.5961106	0.019030096	0.01125	4.0	15.133854389190674	20000
5	-0.10027782	0.2953587	0.28696176	-1.9232295	2.7729611	0.39134437	3.7210107	1.9571509	34.05128	1632.5576	3.2128685	2.8491406	2.7729611	0.39134437	3.7210107	1.9571509	1632.5576	3.2128685	2.8491406	545.0	2.7363966	0.9511344	-2.2096448	0.061969586	-2.1200054	-2.3040404	3.20932	0.323581	3.8153038	2.8036957	172.875	2.2142601013183594	0.3452286345790635	-0.07959354	0.17277336	0.22194439	-1.2403914	17.31025	2.6409435	26.33769	9.284549	-29.964283	29.866426	46.660458	-45.457058	-0.0015819902	-0.016278164	0.009292213	-0.0013019253	1.5818187	0.0153786	0.0035	3.0	18.186691522598267	24000
6	-0.12458324	0.5070489	0.3783091	-3.4347591	2.6814797	0.31780785	3.5161304	1.9368029	33.54701	1946.2908	3.2892077	2.8044536	2.6814797	0.31780785	3.5161304	1.9368029	1946.2908	3.2892077	2.8044536	662.0	2.820858	0.9538905	-2.0992513	0.13288726	-1.8217586	-2.2714276	2.1381695	0.26701725	2.714449	1.9150486	166.25	2.256848096847534	0.35350232871842824	-0.10431787	0.35150343	0.3162095	-2.95578	22.171211	3.5933561	33.06727	10.684557	-33.391876	37.28967	54.869843	-53.443336	-0.0015673395	-0.017557865	0.015881265	-0.0020177995	1.5673988	0.018341742	0.00575	3.0	21.18237042427063	28000
7	-0.11217743	0.3027976	0.44666225	-2.0830526	2.726324	0.42030984	3.9202938	1.9069662	33.42735	2265.2705	3.3551202	2.779473	2.726324	0.42030984	3.9202938	1.9069662	2265.2705	3.3551202	2.779473	779.0	2.8915374	0.95582825	-2.149757	0.07621544	-2.0029736	-2.252863	2.4053907	0.27284542	2.8163738	1.9459534	164.0	2.2995705604553223	0.36164674008802505	-0.09608308	0.2670099	0.23888083	-2.2753515	26.751547	4.3799233	40.63323	14.634688	-45.26495	37.6173	62.762924	-61.12272	-0.0015512928	-0.017282637	0.010955683	-0.0021467488	1.5513098	0.019380827	0.0075000003	3.0	24.13069987297058	32000
8	-0.055813644	0.187015	0.5735861	-0.5829555	2.6831174	0.3968219	4.4049587	2.0672054	33.57627	2581.8784	3.4119358	2.7554731	2.6831174	0.3968219	4.4049587	2.0672054	2581.8784	3.4119358	2.7554731	897.0	2.9527924	0.95731056	-2.0726845	0.102919355	-1.866172	-2.2001834	2.1920476	0.19176488	2.4427109	1.8961792	159.75	2.3425207138061523	0.36968343983812446	-0.068004526	0.12044028	0.21832791	-0.61682767	31.466736	5.2540812	46.893593	14.614403	-47.031376	45.601826	70.45028	-68.60265	-0.0015386976	-0.019485494	0.0050398917	-0.0006737781	1.5387628	0.02300119	0.0105	3.0	27.132289171218872	36000
9	-0.13538444	0.38963377	0.6673283	-2.7843459	2.7769156	0.40117776	4.5204043	1.9627714	34.452175	2901.2239	3.4625812	2.7473712	2.7769156	0.40117776	4.5204043	1.9627714	2901.2239	3.4625812	2.7473712	1012.0	3.0051806	0.9583333	-2.0861757	0.07924037	-1.9118823	-2.1515517	2.3868427	0.2732419	2.7698212	1.9200764	158.0	2.385669231414795	0.3776102293890796	-0.09583555	0.24691473	0.26404503	-2.483968	36.127296	6.481089	52.355465	18.512842	-54.057213	49.907055	77.85326	-75.80357	-0.0015297579	-0.014012555	0.013066709	-0.0016431849	1.5296923	0.015147467	0.00025	2.0	30.07702088356018	40000
