Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	AverageQcVals	StdQcVals	MaxQcVals	MinQcVals	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.1623439	2.150597	0.9423734	-9.959888	1.0	0.0	1.0	1.0	74.63461	52.0	1.7160033	0.8666667	1.0	0.0	1.0	1.0	52.0	1.7160033	0.8666667	52.0	1.7160033	0.8666667	0.002804432	0.16430692	0.2619195	-0.18889453	1.0	0.0	1.0	1.0	81.75	2.0	0.3010299956639812	0.012017195	0.05611592	0.16283163	-0.15307033	0.023809297	0.043454703	0.1909602	0.0	0.035864215	0.051060654	0.22840868	-0.06335735	-0.0014977544	-0.011904433	0.6321256	-0.31564188	1.4976759	0.015218554	0.14299999	38.0	3.043672800064087	4000
1	-1.5471529	2.223638	0.66023064	-10.156121	1.0	0.0	1.0	1.0	90.59524	94.0	1.9731278	0.8867925	1.0	0.0	1.0	1.0	94.0	1.9731278	0.8867925	94.0	1.9731278	0.8867925	-2.8560975	0.22318794	-2.5460155	-3.1898184	1.0	0.0	1.0	1.0	112.125	2.043377637863159	0.31034863627716913	-0.82048476	0.7902642	0.6182575	-3.1945724	0.038100433	0.046495955	0.1805478	0.0	0.040348977	0.061913032	0.24572375	-0.0645419	-0.001444878	-0.01025513	0.46467102	-0.07427932	1.444868	0.010418603	0.09900001	79.0	6.193844556808472	8000
2	-2.72615	3.8526473	4.344314	-12.667256	1.0	0.0	1.0	1.0	111.333336	127.0	2.1038036	0.8881119	1.0	0.0	1.0	1.0	127.0	2.1038036	0.8881119	127.0	2.1038036	0.8881119	-4.315929	0.15230902	-4.1009564	-4.518345	1.0	0.0	1.0	1.0	127.5	2.0870449542999268	0.31953180373441925	-0.96498585	0.6272165	0.24159479	-2.7875261	0.042964417	0.059658248	0.25046024	0.0	0.053427733	0.06603192	0.2499832	-0.053449064	-0.0014146343	-0.013313759	0.93379796	-0.26280737	1.414599	0.011909321	0.1145	79.0	9.313885927200317	12000
3	-3.3329177	4.586626	6.9850407	-12.051879	1.0	0.0	1.0	1.0	126.86667	157.0	2.1958997	0.8870056	1.0	0.0	1.0	1.0	157.0	2.1958997	0.8870056	157.0	2.1958997	0.8870056	-4.7718735	0.2603023	-4.375342	-5.105182	1.0	0.0	1.0	1.0	120.375	2.130995512008667	0.3285825350675932	-1.7142602	1.3940362	0.99215543	-5.523136	0.07141061	0.06643264	0.23110527	0.0011334746	0.046914387	0.053886734	0.25340247	-0.04586104	-0.00138136	-0.011246436	0.77261716	-0.22238386	1.381362	0.015004459	0.11975	53.0	12.382671356201172	16000
4	-3.2826264	4.121097	8.470616	-9.400834	1.0	0.0	1.0	1.0	135.18518	184.0	2.2648177	0.88461536	1.0	0.0	1.0	1.0	184.0	2.2648177	0.88461536	184.0	2.2648177	0.88461536	-3.9681013	0.24682237	-3.6330094	-4.3682537	1.0	0.0	1.0	1.0	148.0	2.1752243041992188	0.3375040470622683	-1.8874167	1.8257912	3.5991194	-6.4551616	0.062146246	0.063570224	0.24449669	0.0	0.047324758	0.05377455	0.20299202	-0.013679524	-0.0013372209	-0.008074921	0.63413703	-0.14493737	1.3372266	0.015080128	0.1465	39.0	15.430325031280518	20000
5	-3.3141916	3.1714814	3.5845904	-9.8416395	1.0	0.0	1.0	1.0	131.11111	211.0	2.3242824	0.88284516	1.0	0.0	1.0	1.0	211.0	2.3242824	0.88284516	211.0	2.3242824	0.88284516	-1.9681168	1.5863299	0.399069	-3.8632226	1.0	0.0	1.0	1.0	202.0	2.2197248935699463	0.3462991525551269	-1.5580466	1.7459927	5.5308824	-6.402767	0.04584822	0.05178773	0.20114106	0.0	0.04335712	0.049725212	0.21165763	-0.015547654	-0.0012816787	-0.008805476	0.6154456	-0.17488042	1.28177	0.01503117	0.0995	33.0	18.50129985809326	24000
6	-1.5669235	2.9121363	6.3735123	-6.3653393	1.0	0.0	1.0	1.0	147.36	236.0	2.372912	0.880597	1.0	0.0	1.0	1.0	236.0	2.372912	0.880597	236.0	2.372912	0.880597	-3.5848594	0.21575339	-3.2666485	-3.9640167	1.0	0.0	1.0	1.0	142.25	2.2644920349121094	0.3549707974412315	-1.0414722	1.3333348	1.6916238	-5.6941514	0.041559856	0.041297544	0.18809532	0.00010318276	0.04882989	0.053428542	0.19888298	-0.01855922	-0.0011936491	-0.010707963	0.7922275	-0.2907624	1.1936147	0.012699584	0.134	79.0	21.685551166534424	28000
7	-4.097011	3.6719763	3.0734255	-13.449	1.0	0.0	1.0	1.0	143.76923	262.0	2.4183013	0.8791946	1.0	0.0	1.0	1.0	262.0	2.4183013	0.8791946	262.0	2.4183013	0.8791946	-3.5059104	0.14550945	-3.270717	-3.7310882	1.0	0.0	1.0	1.0	153.125	2.3095202445983887	0.36352177350130715	-0.93447864	1.0893947	2.4871993	-4.6693773	0.039380014	0.0429227	0.16282783	0.0	0.044660263	0.05138222	0.21749079	-0.02803341	-0.0012935661	-0.006957803	0.80297047	-0.36369357	1.2935685	0.015092537	0.132	66.0	24.800132036209106	32000
8	-3.878131	3.1978834	5.2410207	-11.197456	1.0	0.0	1.0	1.0	152.0	287.0	2.457882	0.87767583	1.0	0.0	1.0	1.0	287.0	2.457882	0.87767583	287.0	2.457882	0.87767583	-2.9479733	0.048635244	-2.8352866	-2.9862554	1.0	0.0	1.0	1.0	151.125	2.3548030853271484	0.37195459616496473	-1.7560711	1.6697414	2.7111826	-7.0361514	0.0440858	0.050464578	0.24304159	0.0005151739	0.041501034	0.05432289	0.23113889	-0.013700767	-0.0011521783	-0.011919314	0.66651934	-0.19316128	1.152153	0.012326828	0.0815	79.0	27.9644615650177	36000
9	-2.860985	3.220974	4.3519783	-8.768917	1.0	0.0	1.0	1.0	162.26086	310.0	2.4913616	0.8757062	1.0	0.0	1.0	1.0	310.0	2.4913616	0.8757062	310.0	2.4913616	0.8757062	-3.4345193	0.06795901	-3.320839	-3.534956	1.0	0.0	1.0	1.0	141.5	2.4003350734710693	0.38027187104581983	-1.533002	1.1428193	1.3424208	-4.992448	0.056437258	0.0620063	0.25259572	0.00010016651	0.050731007	0.055953905	0.2407986	-0.0075660096	-0.0012713876	-0.0052023195	0.57606184	-0.15257542	1.2714586	0.015765963	0.08050001	12.0	30.92453670501709	40000
