Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.6219435	1.8599708	2.5898943	-7.1278906	0.16071428	0.36726722	1.0	0.0	439.5	9.0	0.9542425	0.140625	1.0	0.0	1.0	1.0	56.0	1.748188	0.875	0.0	-inf	0.0	-0.681636	0.035991482	-0.61503154	-0.7304544	1.0	0.0	1.0	1.0	107.75	2.0	0.3010299956639812	0.020861154	0.047283076	0.14989913	-0.12621719	0.15851355	0.12118316	0.534034	0.0	-0.0014853636	-0.013799745	0.5322566	64.4205	-0.18306488	-7.1569185	1.4853199	0.015280195	0.16425	18.0	3.33455753326416	4000
1	-0.53235984	2.82618	4.2944155	-9.723436	0.23404256	0.4233989	1.0	0.0	412.17023	20.0	1.30103	0.17391305	1.0	0.0	1.0	1.0	103.0	2.0128372	0.8956522	0.0	-inf	0.0	-3.5471506	0.120066546	-3.3057911	-3.6943712	1.0	0.0	1.0	1.0	121.375	2.0	0.3010299956639812	-0.5559207	0.67608404	1.056621	-2.666358	8.147238	2.2910426	9.482273	0.0	-0.0014843466	-0.012297117	0.60631824	54.701393	-0.14109212	-6.89579	1.4843323	0.015350376	0.12575	29.0	6.542356252670288	8000
2	-2.322723	3.8364656	4.5022826	-8.97475	0.53125	0.49902248	1.0	0.0	306.875	37.0	1.5682018	0.24503312	1.0	0.0	1.0	1.0	135.0	2.1303337	0.89403975	0.0	-inf	0.0	-3.606947	0.080298185	-3.4396725	-3.696498	1.0	0.0	1.0	1.0	110.0	2.0	0.3010299956639812	-0.9126833	1.2610853	1.1405259	-4.612012	15.711628	1.189912	16.130424	3.2578351	-0.0014365799	-0.016455151	0.8789135	39.494125	-0.2616971	-4.731531	1.4366348	0.012819003	0.1465	79.0	9.779774188995361	12000
3	-1.8541981	2.607136	2.9709997	-6.535487	0.8484849	0.3585503	1.0	0.0	184.90909	65.0	1.8129133	0.34574467	1.0	0.0	1.0	1.0	168.0	2.2253094	0.89361703	0.0	-inf	0.0	-2.7893138	0.13538015	-2.6021018	-3.057673	1.0	0.0	1.0	1.0	109.25	2.0	0.3010299956639812	-1.125595	1.3355932	3.2157605	-5.3607264	21.899824	0.0925289	21.960056	20.436127	-0.0014460981	-0.0070627555	0.6004524	34.66129	-0.19570804	-4.0732565	1.4460742	0.018849198	0.1425	6.0	12.843957424163818	16000
4	-2.2449243	2.880506	3.7195055	-7.597453	0.6764706	0.46782276	1.0	0.0	248.5	88.0	1.9444827	0.38938054	1.0	0.0	1.0	1.0	202.0	2.3053513	0.8938053	0.0	-inf	0.0	-1.3100123	0.1287277	-1.113315	-1.4814037	1.0	0.0	1.0	1.0	112.125	2.0	0.3010299956639812	-0.55950207	1.2466439	2.4459505	-4.5228105	27.33057	0.03927	27.35855	27.103819	-0.0015358329	-0.01006342	0.56297565	30.784105	-0.109630786	-4.1876636	1.5358527	0.015609866	0.156	10.0	16.124902963638306	20000
5	-1.6854453	3.772144	5.4803476	-9.51999	0.6875	0.4635124	1.0	0.0	250.25	110.0	2.0413928	0.41984734	1.0	0.0	1.0	1.0	234.0	2.369216	0.89312977	0.0	-inf	0.0	-1.0993408	0.10693001	-0.9534379	-1.2512637	1.0	0.0	1.0	1.0	112.5	2.0	0.3010299956639812	-0.63032895	1.3987958	3.2087884	-5.6592407	32.29135	3.61804	32.79261	0.0	-0.0015393794	-0.00252276	0.62341475	25.629507	-0.11956377	-3.2459607	1.5394158	0.0154102165	0.119	13.0	19.3385751247406	24000
6	-0.36823454	3.1942272	7.1325707	-5.864092	0.7096774	0.45391124	1.0	0.0	242.58064	132.0	2.120574	0.44444445	1.0	0.0	1.0	1.0	265.0	2.423246	0.8922559	0.0	-inf	0.0	-0.10753611	0.033237457	-0.05947835	-0.14621012	1.0	0.0	1.0	1.0	119.125	2.0	0.3010299956639812	-0.25342023	1.4442922	4.050642	-5.141101	37.12187	0.142288	37.176132	36.158108	-0.001475526	-0.007745753	0.58401936	21.87259	-0.108037144	-1.5102091	1.4754956	0.0056856126	0.089	79.0	22.786779403686523	28000
7	-0.33056182	2.570611	7.98941	-4.1731267	0.7407407	0.43822813	1.0	0.0	241.59259	152.0	2.1818435	0.46341464	1.0	0.0	1.0	1.0	292.0	2.4653828	0.8902439	0.0	-inf	0.0	-0.18824676	0.034402214	-0.1263094	-0.22211686	1.0	0.0	1.0	1.0	122.75	2.0	0.3010299956639812	-0.034035478	1.1072385	4.884521	-3.898661	40.451454	0.49853608	40.590176	36.957672	-0.0014257943	-0.010569748	0.5063395	19.646954	-0.11787592	-0.38480902	1.4257884	0.020074237	0.12674999	5.0	25.649667739868164	32000
8	-0.36736786	2.0046542	3.9049141	-4.767149	0.6666667	0.47140452	1.0	0.0	261.76666	172.0	2.2355285	0.47513813	1.0	0.0	1.0	1.0	322.0	2.507856	0.88950276	0.0	-inf	0.0	-0.3558787	0.00755391	-0.34517166	-0.37143287	1.0	0.0	1.0	1.0	124.25	2.0	0.3010299956639812	-0.36595848	0.79544276	2.5830011	-3.8230743	42.19821	0.07284184	42.241077	41.64576	-0.0015005153	0.0021734647	0.4377451	19.595884	-0.114571415	-0.5295825	1.5005312	0.01516374	0.08775	4.0	28.77343225479126	36000
9	-0.32799608	2.8467565	7.3434167	-5.100153	0.78571427	0.41032586	1.0	0.0	219.71428	194.0	2.2878017	0.49238577	1.0	0.0	1.0	1.0	350.0	2.544068	0.88832486	0.0	-inf	0.0	-0.8276818	0.019091714	-0.79831016	-0.85061395	1.0	0.0	1.0	1.0	128.0	2.0	0.3010299956639812	-0.12461553	0.9947034	4.3632565	-3.8735325	44.319546	0.04622431	44.346603	43.963913	-0.0015134905	-0.0042340355	0.49731636	18.567675	-0.09837222	-0.15047646	1.5134982	0.015146412	0.11525	11.0	31.84347939491272	40000
10	-1.2910208	2.3759828	3.1063776	-6.0023513	0.6296296	0.4829039	1.0	0.0	276.74075	211.0	2.3242824	0.4964706	1.0	0.0	1.0	1.0	377.0	2.5763414	0.8870588	0.0	-inf	0.0	-1.1957872	0.024069253	-1.157515	-1.2318635	1.0	0.0	1.0	1.0	142.25	2.0	0.3010299956639812	-0.32957056	1.1485211	4.574981	-3.9990838	45.552372	0.029529313	45.571342	45.287148	-0.0015353039	-0.0067456057	0.49430543	18.66911	-0.12499065	-0.0332942	1.5352991	0.015512936	0.1715	12.0	34.83068776130676	44000
11	-0.6444866	2.5675511	4.4743223	-6.636821	0.6315789	0.48237637	1.0	0.0	299.26315	223.0	2.3483047	0.49776787	1.0	0.0	1.0	1.0	396.0	2.597695	0.8839286	0.0	-inf	0.0	-1.3581913	0.0049061067	-1.3509592	-1.3637086	1.0	0.0	1.0	1.0	216.25	2.0	0.3010299956639812	-0.81960815	1.1020088	3.71536	-4.1944256	46.15127	0.022305598	46.167164	45.92419	-0.0014753826	-0.006916799	0.5005384	20.87669	-0.20395699	-0.52121687	1.4754162	0.015594853	0.1355	31.0	37.57903504371643	48000
12	-1.0694634	2.1663725	2.8078475	-3.8740067	0.5294118	0.4991342	1.0	0.0	333.17648	232.0	2.365488	0.4946695	0.88235295	0.32218975	1.0	0.0	411.0	2.6138418	0.87633264	0.0	-inf	0.0	-1.1770511	0.071554564	-1.0713933	-1.246061	1.0	0.0	1.0	1.0	367.375	2.0	0.3010299956639812	-0.4593586	1.0945919	4.0028734	-3.8929033	43.920723	0.0542951	43.953568	43.58089	-0.001433894	-0.012119846	0.4542723	23.98774	-0.17347616	-1.2283006	1.4339154	0.012104959	0.1425	79.0	40.620853424072266	52000
