Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.4919981	2.8862505	1.4931154	-11.550506	0.039215688	0.19410774	1.0	0.0	487.07843	2.0	0.30103	0.033898305	1.0	0.0	1.0	1.0	51.0	1.7075702	0.86440676	0.0	-inf	0.0	-2.5956442	0.19833174	-2.185114	-2.9326024	1.0	0.0	1.0	1.0	128.75	2.0	0.3010299956639812	-0.05938091	0.107254654	0.15518983	-0.3017833	0.18976913	0.10759045	0.45500007	0.0	-0.0013812371	-0.017238628	0.7584525	62.195282	-0.1500624	-7.65411	1.3812789	0.013903484	0.13575	79.0	4.466291189193726	4000
1	-1.412759	3.8135412	11.091697	-10.084828	0.028571429	0.16659863	1.0	0.0	489.4	3.0	0.47712123	0.030612245	1.0	0.0	1.0	1.0	86.0	1.9344984	0.877551	0.0	-inf	0.0	0.002423732	0.017919736	0.027901355	-0.023361944	1.0	0.0	1.0	1.0	190.375	2.0	0.3010299956639812	-0.4039532	0.358975	0.4909173	-1.3993407	8.907133	0.90505797	9.65347	1.4833484	-0.0013924167	-0.017722443	0.97222865	46.106613	-0.18911105	-6.387144	1.3923682	0.015002297	0.11975001	70.0	8.601650953292847	8000
2	-1.3556478	4.3710785	8.615984	-8.181554	0.1904762	0.3926767	1.0	0.0	436.8095	7.0	0.845098	0.05691057	1.0	0.0	1.0	1.0	107.0	2.0293837	0.8699187	0.0	-inf	0.0	0.7367315	0.048826	0.79548526	0.6409469	1.0	0.0	1.0	1.0	199.75	2.0	0.3010299956639812	-0.5839659	0.35390577	0.46732593	-1.2269094	16.282957	0.3105254	16.443798	13.307577	-0.0014213454	-0.013455225	1.0515436	28.814873	-0.15236971	-2.6368423	1.421321	0.010585313	0.120749995	79.0	12.592224836349487	12000
3	0.4871562	4.827531	13.788404	-10.141668	0.1	0.29999998	1.0	0.0	465.85	9.0	0.9542425	0.06122449	1.0	0.0	1.0	1.0	127.0	2.1038036	0.8639456	0.0	-inf	0.0	2.1810637	0.01944724	2.2126787	2.1572797	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.2879609	0.37837473	0.6194647	-1.0845217	20.946556	0.05625429	21.010818	20.59506	-0.0014125984	-0.009179169	1.0022445	24.398026	-0.14186615	-0.80175066	1.4126058	0.015179439	0.12575	15.0	16.55641770362854	16000
4	1.4573152	6.0960884	20.369583	-4.47333	0.07692308	0.26646933	1.0	0.0	472.46155	10.0	1.0	0.06097561	0.9230769	0.26646933	1.0	0.0	139.0	2.143015	0.847561	0.0	-inf	0.0	1.8514559	0.013770123	1.8703834	1.8308707	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.102539316	0.658373	0.9822771	-1.5038255	23.641735	0.08208322	23.684782	22.739944	-0.0014446881	-0.010877589	1.148648	20.129541	-0.12274427	-0.15753555	1.4446875	0.016569538	0.12900001	17.0	20.417024850845337	20000
5	1.7283611	6.8350368	16.4037	-9.37461	0.0	0.0	0.0	0.0	500.0	10.0	1.0	0.055555556	1.0	0.0	1.0	1.0	151.0	2.178977	0.8388889	0.0	-inf	0.0	3.7368639	0.044228815	3.8033123	3.6841307	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.06632887	0.55008227	1.1775446	-0.98094326	22.651928	0.31104198	22.743265	18.517794	-0.001495216	-0.012653921	1.2898812	19.733013	-0.028591216	-0.20935154	1.4952269	0.011535572	0.1225	79.0	24.480149507522583	24000
6	3.7996182	2.0875354	8.543693	-0.35915908	0.0625	0.24206147	1.0	0.0	479.875	11.0	1.0413927	0.055	1.0	0.0	1.0	1.0	167.0	2.2227166	0.835	0.0	-inf	0.0	0.6783354	0.015408904	0.6949826	0.6534883	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.04846971	0.49990463	1.0514857	-0.82772356	21.49921	1.4780557	21.748537	2.053283	-0.0014525114	-0.009835757	0.80719423	21.583702	-0.22727552	-0.46801043	1.4525082	0.015911287	0.13325	22.0	28.360424041748047	28000
7	1.2262737	2.2438116	5.2331843	-2.0904875	0.0	0.0	0.0	0.0	500.0	11.0	1.0413927	0.05116279	0.72727275	0.44536176	1.0	0.0	175.0	2.243038	0.81395346	0.0	-inf	0.0	0.44132558	0.013606603	0.45977008	0.42231837	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.6630747	0.31905237	0.99430555	-0.48577312	23.411177	0.25462618	23.608484	20.923552	-0.001472231	-0.005626131	0.5931244	19.592062	-0.19416645	-4.630602	1.4722321	0.01503659	0.117	6.0	32.13640999794006	32000
8	1.3842618	3.4548683	7.4138055	-4.809463	0.0	0.0	0.0	0.0	500.0	11.0	1.0413927	0.04845815	0.5555556	0.49690402	1.0	0.0	180.0	2.2552724	0.7929515	0.0	-inf	0.0	0.039494842	0.0045866636	0.045342207	0.03386589	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.3071023	0.45549846	1.0936567	-0.8360362	10.131147	4.8435297	19.208553	0.0	-0.001488179	-0.0026087333	0.83308995	13.557491	-0.10085065	-2.3796234	1.4881635	0.016000342	0.1475	6.0	35.83275032043457	36000
9	-1.3617772	1.891184	1.2648846	-4.719814	0.0	0.0	0.0	0.0	500.0	11.0	1.0413927	0.04661017	0.125	0.3307189	1.0	0.0	181.0	2.2576785	0.7669492	0.0	-inf	0.0	0.022961294	0.0042044665	0.029492421	0.018185124	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.28894383	0.38757652	0.8242426	-0.8033386	2.2550397	1.9532996	8.988119	0.0	-0.0012474842	-0.0057175327	0.3647474	3.3401513	-0.10052526	-1.2299515	1.2474842	0.016481655	0.20549999	9.0	39.443822145462036	40000
