Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.14894927	0.74098444	2.7017822	-2.6171265	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	57.0	1.7558749	0.8769231	0.0	-inf	0.0	0.5754071	0.1245771	0.77150387	0.45124474	1.0	0.0	1.0	1.0	173.0	2.0	0.3010299956639812	-0.0016642142	0.067693114	0.17508957	-0.24594896	0.007325226	0.026782045	0.18849376	0.0	-0.0015251711	-0.0145744635	0.09472285	65.00426	-0.02542723	-7.183056	1.5251771	0.015483395	0.17074999	12.0	4.339634656906128	4000
1	-1.5978957	3.3595436	3.076634	-13.588866	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	88.0	1.9444827	0.88	0.0	-inf	0.0	-3.2084687	0.056267705	-3.0989928	-3.2970302	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.010834808	0.2235498	0.6151555	-0.5620306	7.2958503	1.6835024	8.723349	0.0	-0.0015232377	-0.010925423	0.88741505	41.81221	-0.18944423	-4.866819	1.5232251	0.015578224	0.15175	16.0	8.445868253707886	8000
2	-0.03587696	4.666239	9.332912	-10.204673	0.04347826	0.20393112	1.0	0.0	485.08694	1.0	0.0	0.007874016	1.0	0.0	1.0	1.0	111.0	2.045323	0.87401575	0.0	-inf	0.0	0.07078203	0.0053073675	0.07807176	0.06461902	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.20587194	0.45174223	0.82129174	-1.2875167	14.035433	0.5694167	14.493335	9.345165	-0.0014314689	-0.012384691	1.1562724	30.258385	-0.13750419	-2.5606346	1.4314975	0.0076977652	0.08725	79.0	12.587405681610107	12000
3	1.1736944	5.11864	8.884568	-10.057347	0.0	0.0	0.0	0.0	500.0	1.0	0.0	0.006802721	1.0	0.0	1.0	1.0	127.0	2.1038036	0.8639456	0.0	-inf	0.0	0.026719699	0.0025956922	0.029910712	0.021673104	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.14857097	0.45470512	0.8385032	-0.9995384	18.958652	0.17982076	19.085	17.478716	-0.0014358684	-0.014212638	1.2862854	22.363567	-0.2139342	-0.111385345	1.4358497	0.01500304	0.118999995	51.0	16.48342776298523	16000
4	2.6580548	4.5402884	9.423165	-4.440709	0.11111111	0.31426966	1.0	0.0	463.33334	2.0	0.30103	0.012578616	0.6666667	0.47140452	1.0	0.0	133.0	2.1238515	0.836478	0.0	-inf	0.0	-0.0008546115	0.00042463205	2.705084e-05	-0.0013798029	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.008986338	0.58058846	1.1810992	-0.8806104	20.082544	0.0926662	20.1575	19.216764	-0.0014142692	-0.012131135	1.1641833	17.34393	-0.17339389	-1.9982629	1.4142599	0.014208837	0.155	79.0	20.31961226463318	20000
5	4.885988	4.8263116	15.822092	-0.1417036	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.011764706	0.625	0.48412293	1.0	0.0	138.0	2.139879	0.8117647	0.0	-inf	0.0	-0.0026294752	0.00037572486	-0.0022569196	-0.0035188408	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.091983944	0.3404378	0.77360284	-0.5880806	15.6428385	0.23216419	15.767861	12.8732395	-0.0013955012	-0.0067009646	1.0075321	14.885293	-0.16543117	-2.2853017	1.3954836	0.018625112	0.13575001	11.0	24.06285047531128	24000
6	2.182092	2.5917244	6.9113817	-0.44032392	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.011049724	0.625	0.48412293	1.0	0.0	143.0	2.1553361	0.7900553	0.0	-inf	0.0	0.021967908	0.0017588923	0.024620986	0.019481806	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.24998496	0.3245073	0.9360976	-0.65280783	10.701457	0.93864477	11.167031	3.265794	-0.0014318451	-0.006432914	0.66059107	13.272836	-0.117370725	-2.0054374	1.4318559	0.017079696	0.09475	5.0	27.539889335632324	28000
7	0.4203201	5.5824327	9.9393	-9.232367	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.010416667	0.44444445	0.49690402	1.0	0.0	147.0	2.1673174	0.765625	0.0	-inf	0.0	0.118712306	0.006845269	0.1313204	0.112749994	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.26091906	0.23561813	0.8593073	-0.4602787	5.3597956	1.8705559	8.118715	0.0	-0.001383923	-0.0036311317	0.77312386	9.818722	-0.18777695	-1.2752069	1.3839189	0.021298522	0.23725	5.0	31.255413055419922	32000
8	1.7836605	3.508021	9.760485	-2.4005108	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.009852217	0.375	0.48412293	1.0	0.0	150.0	2.1760912	0.7389163	0.0	-inf	0.0	0.2951125	0.013388164	0.31496364	0.28071487	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.25843865	0.40722534	1.0901312	-0.71264094	1.9093472	1.6639086	7.068951	0.0	-0.0013559051	-0.006997928	0.52932835	7.3839307	-0.10752907	-0.33642277	1.3558956	0.015324093	0.15625	12.0	34.72142791748047	36000
9	1.305537	1.1630689	4.1045156	0.20186704	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.009478673	0.0	0.0	0.0	0.0	150.0	2.1760912	0.7109005	0.0	-inf	0.0	1.9930837	0.119443856	2.1376388	1.8301228	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.29194343	0.3016395	0.85732687	-0.49551752	0.83345115	0.21720307	3.2120922	0.0	-0.0012334585	-0.013406056	0.16336799	0.23023354	-0.04455138	-0.20232001	1.2334021	0.015748031	0.13949999	14.0	38.08738422393799	40000
10	7.997263	2.921641	13.517156	3.9672234	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.009049774	0.22222222	0.4157397	1.0	0.0	152.0	2.1818435	0.6877828	0.0	-inf	0.0	2.1954355	0.090455174	2.3448884	2.046186	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.18500629	0.298462	0.89955914	-0.36866194	0.28715488	0.50172204	5.253283	0.0	-0.0012537092	-0.0028648004	1.1417567	3.4143724	-0.1441917	-0.05618043	1.2537146	0.015186832	0.16	5.0	41.768271684646606	44000
11	9.529443	5.548509	18.22727	3.536278	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.008733625	0.0	0.0	0.0	0.0	152.0	2.1818435	0.6637555	0.0	-inf	0.0	6.404829	0.30462095	6.656258	5.7285943	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.60669607	0.19786432	0.9636102	-0.0931652	0.13815826	0.06565703	0.8767288	0.0	-0.0011957064	-0.010053086	0.9732417	0.0099048205	-0.0061775595	-0.007967364	1.1957116	0.016882818	0.12450001	22.0	45.30714797973633	48000
12	9.458323	6.110249	22.152851	0.20753267	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.008230452	0.6363636	0.4810457	1.0	0.0	159.0	2.2013972	0.654321	0.0	-inf	0.0	5.8344502	0.20509757	6.0550694	5.501731	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.5879786	0.12292916	0.9083624	-0.12478963	0.031462397	0.03318993	0.6667524	0.0	-0.0012758598	-0.0126174055	1.505392	14.271365	-0.07771936	-0.12152886	1.2758582	0.006404971	0.11175	79.0	49.38140654563904	52000
13	11.887459	5.310904	21.122526	5.87228	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.007905139	0.25	0.4330127	1.0	0.0	161.0	2.206826	0.6363636	0.0	-inf	0.0	5.150964	0.084895864	5.2642303	5.005118	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.6828464	0.20785764	1.1608689	-0.061400585	0.6382682	0.11794054	1.8269079	0.0	-0.0012434833	-0.00627991	1.4858661	3.2356846	-0.05506952	-0.10712376	1.2434831	0.021028226	0.23675	5.0	53.10272550582886	56000
14	9.541062	2.789203	13.863666	5.1558137	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.007662835	0.0	0.0	0.0	0.0	161.0	2.206826	0.61685824	0.0	-inf	0.0	6.150715	0.13834472	6.348907	5.960666	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.6608344	0.17397007	1.0017816	0.31362358	0.18491226	0.040320426	0.34075525	0.0	-0.0011703372	-0.0069125183	1.0199666	0.013252432	0.06448668	-0.011885753	1.1703234	0.01630903	0.243	4.0	56.626229763031006	60000
15	8.308807	4.852626	18.337673	2.559824	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.007380074	0.22222222	0.4157397	1.0	0.0	163.0	2.2121875	0.601476	0.0	-inf	0.0	8.62802	0.11295045	8.778728	8.463682	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.58184665	0.15803137	0.83806074	0.32796246	0.03771461	0.019952197	0.15447973	0.0	-0.0011870414	-0.007229179	1.0913537	3.4189668	0.01974456	-0.0016763699	1.1870502	0.007408409	0.0695	79.0	60.35454201698303	64000
16	11.835804	4.8254886	18.594053	6.224812	0.0	0.0	0.0	0.0	500.0	2.0	0.30103	0.007168459	0.0	0.0	0.0	0.0	163.0	2.2121875	0.5842294	0.0	-inf	0.0	5.6788177	0.18534175	6.0333104	5.395051	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.58767176	0.14206801	0.81103575	0.24705967	0.071966596	0.04709831	0.33263958	0.0	-0.0011755209	-0.0041954108	1.3239263	0.0031824475	-0.07640508	-0.0026072557	1.1755626	0.016961409	0.21825	4.0	63.85723090171814	68000
