Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.84935945	2.3054845	4.0620847	-8.554614	0.7358491	0.44088006	1.0	0.0	186.54716	39.0	1.5910646	0.6393443	1.0	0.0	1.0	1.0	53.0	1.7242758	0.86885244	0.0	-inf	0.0	0.64785993	0.03838298	0.70009726	0.59251547	1.0	0.0	1.0	1.0	110.75	2.0	0.3010299956639812	0.016137397	0.051187888	0.14873204	-0.14131775	0.1736992	0.12943365	0.5926672	0.0	-0.0014914572	-0.013444952	0.64346015	65.02943	-0.1703705	-7.4457884	1.4914155	0.01531325	0.163	19.0	2.7850382328033447	4000
1	-0.37291613	3.4251847	8.895132	-10.06844	0.75	0.4330127	1.0	0.0	203.4	69.0	1.8388491	0.6571429	0.95	0.21794495	1.0	0.0	91.0	1.9590414	0.8666667	2.0	0.30103	0.01904762	-1.8838292	0.22152892	-1.6272991	-2.1421447	1.0	0.0	1.0	1.0	132.25	2.0	0.3010299956639812	-0.47975555	0.5065299	0.8000595	-2.0603342	7.965125	2.663956	9.522516	0.0	-0.0014782175	-0.013732009	0.8500156	49.934647	-0.15420702	-6.153387	1.4782786	0.015396897	0.10075	20.0	5.725803852081299	8000
2	-1.7364528	4.836429	6.5703454	-15.028488	0.8064516	0.395079	1.0	0.0	204.64516	94.0	1.9731278	0.67142856	1.0	0.0	1.0	1.0	122.0	2.0863597	0.87142855	2.0	0.30103	0.014285714	-2.7188945	0.2638381	-2.41755	-3.0718813	1.0	0.0	1.0	1.0	115.0	2.0	0.3010299956639812	-0.61286217	1.0814193	1.5231388	-4.8185334	15.207149	1.3818158	15.92592	3.2153347	-0.0014590789	-0.014550025	1.1217064	39.118526	-0.3465185	-5.8351336	1.4590902	0.015443021	0.116500005	41.0	8.784536838531494	12000
3	-1.0302073	4.3115106	5.2528863	-11.530153	0.9677419	0.17668469	1.0	0.0	139.2258	124.0	2.0934217	0.70857143	1.0	0.0	1.0	1.0	153.0	2.1846914	0.8742857	2.0	0.30103	0.011428571	-0.7071441	0.15804443	-0.46132904	-0.99924505	1.0	0.0	1.0	1.0	106.0	2.0	0.3010299956639812	-0.84000635	1.2887703	2.4327672	-5.7739196	22.021591	0.11075686	22.100872	20.866104	-0.0014555752	-0.009400182	0.73141307	33.360367	-0.22554588	-4.5598803	1.4555432	0.015232657	0.121750005	58.0	11.964956760406494	16000
4	0.20339434	3.6199558	5.0901875	-7.4548545	0.82857144	0.37688303	1.0	0.0	185.05714	153.0	2.1846914	0.71495324	1.0	0.0	1.0	1.0	188.0	2.2741578	0.8785047	2.0	0.30103	0.009345794	-1.818001	0.11159246	-1.5684122	-1.9653568	1.0	0.0	1.0	1.0	109.125	2.0	0.3010299956639812	0.0355314	1.6954141	4.138998	-6.154699	27.724695	0.012492101	27.74307	27.674246	-0.0014749365	-0.008193191	0.6540608	31.011372	-0.17625387	-4.926371	1.474941	0.015246472	0.14750001	15.0	15.249117374420166	20000
5	-1.102047	4.463344	8.646655	-8.565858	0.8666667	0.33993465	1.0	0.0	180.8	179.0	2.252853	0.7217742	1.0	0.0	1.0	1.0	218.0	2.3384564	0.87903225	2.0	0.30103	0.008064516	-1.9216137	0.09002369	-1.7527257	-2.0388646	1.0	0.0	1.0	1.0	112.75	2.0	0.3010299956639812	-0.04433771	1.4811153	3.5040007	-4.9922576	33.498356	0.01594815	33.51096	33.399025	-0.0014659055	-0.005056328	0.710806	23.363388	-0.17294246	-2.1540756	1.4658808	0.017411891	0.15875	12.0	18.356968879699707	24000
6	-1.6442508	6.042475	8.489641	-20.861052	0.82608694	0.3790347	1.0	0.0	227.82608	198.0	2.2966652	0.72	1.0	0.0	1.0	1.0	241.0	2.3820171	0.87636364	2.0	0.30103	0.0072727273	-9.4295025	0.046750832	-9.378547	-9.500703	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.3934432	1.9310309	6.5570407	-7.3009872	36.97225	3.0284436	37.469532	0.0	-0.001469193	-0.0070451684	1.1127272	21.891323	-0.3836149	-0.53787136	1.4691918	0.017073289	0.21700001	8.0	21.557205200195312	28000
7	-2.2327492	7.218684	10.203693	-16.488873	0.46153846	0.49851853	1.0	0.0	346.92307	204.0	2.3096302	0.69863015	0.7692308	0.42132503	1.0	0.0	251.0	2.3996737	0.85958904	4.0	0.60206	0.01369863	-4.023675	0.02154366	-4.00009	-4.057341	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-1.2250277	2.3579345	7.195495	-7.270687	38.18666	1.2674243	38.55435	25.251064	-0.0014031269	-0.017052496	1.7626472	26.3726	-0.6893412	-6.202346	1.4031477	0.010148983	0.119	79.0	24.970943927764893	32000
8	-0.026060581	6.9551373	14.77963	-11.571099	0.375	0.48412293	1.0	0.0	427.375	207.0	2.3159704	0.6831683	0.5	0.5	1.0	0.0	255.0	2.4065402	0.84158415	4.0	0.60206	0.013201321	-8.682894	0.025336375	-8.648104	-8.711173	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.4902245	2.7967205	8.348058	-4.9764633	21.00277	11.288721	35.90768	0.0	-0.0014332496	-0.007916009	1.410921	18.870144	-0.5509661	-8.579813	1.4332426	0.021246132	0.15525	5.0	28.34677767753601	36000
9	-5.6605206	8.109627	10.341688	-15.357111	0.125	0.3307189	1.0	0.0	483.5	208.0	2.3180633	0.6645367	0.25	0.4330127	1.0	0.0	257.0	2.409933	0.8210863	4.0	0.60206	0.0127795525	-11.516499	0.14327797	-11.302148	-11.727671	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.39027148	1.4894522	5.497244	-4.029225	4.7612906	2.1391342	25.362625	0.0	-0.0014147572	-0.0062067807	1.6042535	7.0482845	-0.38689828	-2.120645	1.4147416	0.01809301	0.21225001	6.0	31.5318922996521	40000
10	-9.454112	7.4789004	4.0345144	-21.1888	0.0	0.0	0.0	0.0	500.0	208.0	2.3180633	0.6459627	0.125	0.3307189	1.0	0.0	258.0	2.4116197	0.80124223	4.0	0.60206	0.0124223605	3.8504705	0.017354472	3.868078	3.8148034	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-1.054164	2.4096239	7.9348297	-7.0104704	0.7080038	0.26226932	3.344686	0.0	-0.0014215186	-0.0046522506	1.4769334	2.0362265	-0.5003103	-0.17262577	1.4215096	0.016689911	0.235	6.0	34.8692672252655	44000
