Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.49222946	2.448481	8.651316	-10.141857	0.625	0.48412293	1.0	0.0	240.54167	30.0	1.4771212	0.53571427	0.9791667	0.14282614	1.0	0.0	47.0	1.6720979	0.83928573	1.0	0.0	0.017857144	-0.49804103	0.08406172	-0.38435137	-0.6492143	1.0	0.0	1.0	1.0	138.5	2.0	0.3010299956639812	-0.015352781	0.06351853	0.13862927	-0.15379341	0.08013405	0.03770079	0.18683751	0.0	-0.0014866991	-0.015358646	0.5784946	61.471573	-0.09223062	-7.0180902	1.4867561	0.015099956	0.21849999	17.0	3.9127700328826904	4000
1	-0.70545834	2.3043485	5.493792	-6.467704	0.8108108	0.3916588	1.0	0.0	174.56757	60.0	1.7781513	0.6185567	0.8918919	0.3105169	1.0	0.0	80.0	1.90309	0.82474226	5.0	0.69897	0.05154639	-3.6410456	0.122154504	-3.4328907	-3.8349059	1.0	0.0	1.0	1.0	146.0	2.0	0.3010299956639812	-0.30724993	0.3479399	0.49176732	-1.0646164	7.835501	1.9088511	9.437073	0.0	-0.001438506	-0.016100543	0.6083534	43.56042	-0.07940354	-4.410633	1.4385353	0.010103814	0.138	79.0	8.16782021522522	8000
2	-3.146128	3.1990604	2.529256	-9.109725	0.85714287	0.3499271	1.0	0.0	194.5	84.0	1.9242793	0.6511628	0.96428573	0.18557687	1.0	0.0	107.0	2.0293837	0.82945734	6.0	0.7781513	0.046511628	-4.073415	0.103058666	-3.9452858	-4.264972	1.0	0.0	1.0	1.0	141.0	2.0	0.3010299956639812	-0.098456584	0.3445997	0.699532	-0.81731224	14.635485	1.5777614	15.438058	5.6220827	-0.0013673026	-0.014659012	1.1813378	36.247116	-0.25205234	-5.764714	1.3672941	0.01529916	0.11275	24.0	12.181254625320435	12000
3	-0.8126878	4.197716	7.0969677	-8.116109	0.8076923	0.39411348	1.0	0.0	218.73077	105.0	2.0211892	0.6603774	1.0	0.0	1.0	1.0	133.0	2.1238515	0.836478	6.0	0.7781513	0.03773585	-1.8885872	0.067654155	-1.7954569	-1.9759966	1.0	0.0	1.0	1.0	150.875	2.0	0.3010299956639812	-0.33068913	0.2943015	0.6528586	-0.80551994	21.800657	0.16305241	21.976562	20.393236	-0.0013412479	-0.0104591455	1.2614819	28.94228	-0.11301251	-3.2093291	1.3412445	0.012351202	0.113749996	79.0	16.400604963302612	16000
4	0.17746553	3.6934335	9.731782	-5.1078844	0.95238096	0.21295886	1.0	0.0	182.66667	125.0	2.09691	0.6793478	1.0	0.0	1.0	1.0	154.0	2.1875207	0.8369565	6.0	0.7781513	0.032608695	-0.6729667	0.040188514	-0.59958655	-0.71810514	1.0	0.0	1.0	1.0	156.625	2.0	0.3010299956639812	-0.37478912	0.4012502	0.5554479	-1.0815951	27.05572	0.08671024	27.117737	25.98886	-0.001301852	-0.013424486	0.91620636	22.72381	-0.11492364	-0.81410503	1.3018432	0.015365182	0.14175001	41.0	20.33284568786621	20000
5	-0.72763926	2.891846	4.4292884	-6.1115537	0.9166667	0.2763854	1.0	0.0	192.66667	147.0	2.1673174	0.6933962	0.9166667	0.2763854	1.0	0.0	176.0	2.2455127	0.8301887	8.0	0.90309	0.03773585	-1.5873882	0.037753977	-1.5395088	-1.6453953	1.0	0.0	1.0	1.0	143.25	2.0	0.3010299956639812	-0.2524803	0.35860318	0.76231754	-0.8280535	29.85279	0.053864885	29.895418	29.466381	-0.0012882678	-0.010725401	0.69265115	23.249634	-0.11660672	-0.699028	1.288261	0.015355857	0.13275	30.0	24.252397298812866	24000
6	-1.1004596	2.7486937	4.271444	-5.360711	0.9583333	0.19982632	1.0	0.0	168.08333	170.0	2.230449	0.7083333	1.0	0.0	1.0	1.0	200.0	2.30103	0.8333333	8.0	0.90309	0.033333335	-0.9768194	0.015357242	-0.9618546	-1.0041857	1.0	0.0	1.0	1.0	173.0	2.0	0.3010299956639812	-0.3696733	0.35771754	0.60194504	-0.9230603	32.437378	0.05193321	32.472183	31.936464	-0.0012495344	-0.004732877	0.9033593	21.81711	-0.16201358	-0.8882532	1.2495384	0.015707057	0.13125	9.0	28.18177342414856	28000
7	-2.177719	2.6933277	2.321282	-6.956481	0.8	0.4	1.0	0.0	258.26666	182.0	2.2600713	0.7027027	0.8666667	0.33993465	1.0	0.0	213.0	2.3283796	0.82239383	10.0	1.0	0.038610037	-2.5482597	0.036238823	-2.4760826	-2.58874	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.2776014	0.21301024	0.35507393	-0.7415214	35.42933	0.07500392	35.470894	34.843815	-0.0013327636	-0.014551602	0.9709383	22.775684	-0.13489226	-0.7711897	1.3327932	0.0051058824	0.17275	79.0	32.383657693862915	32000
8	-3.2155461	6.108496	6.775171	-18.999418	0.85714287	0.3499271	1.0	0.0	278.0	194.0	2.2878017	0.700361	0.9285714	0.25753936	1.0	0.0	226.0	2.3541083	0.8158845	10.0	1.0	0.036101084	-1.9213737	0.06356615	-1.8341434	-2.0144322	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.41665256	0.3523723	0.9467949	-0.88017	32.740894	0.2723998	32.845924	30.628723	-0.0013472959	-0.0040121237	1.4905909	22.161875	-0.06133756	-1.9461417	1.3472761	0.016053049	0.13975	6.0	36.442989349365234	36000
9	0.48639107	8.837377	17.283237	-12.808454	0.125	0.3307189	1.0	0.0	457.5	195.0	2.2900345	0.6794425	0.25	0.4330127	1.0	0.0	228.0	2.357935	0.7944251	10.0	1.0	0.034843206	0.8911983	0.017812064	0.92072916	0.86477363	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.49088228	0.33409414	0.718791	-1.0205567	27.799215	4.257594	30.72893	9.666258	-0.0012363493	-0.0066431146	1.5371311	21.476986	-0.045137748	-13.293802	1.2363393	0.01610465	0.1345	11.0	40.11281871795654	40000
