Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.8357461	2.840659	8.276349	-9.729212	0.7291667	0.44439018	1.0	0.0	197.29167	35.0	1.5440681	0.625	0.9791667	0.14282614	1.0	0.0	47.0	1.6720979	0.83928573	1.0	0.0	0.017857144	-0.15407497	0.068679534	-0.03734784	-0.29022193	1.0	0.0	1.0	1.0	138.875	2.0	0.3010299956639812	-0.014758143	0.05745883	0.11240896	-0.16123228	0.078473575	0.03908946	0.17644756	0.0	-0.0014876612	-0.014449016	0.7421596	61.850212	-0.14717227	-7.1491537	1.4876084	0.015142469	0.19874999	15.0	3.9848580360412598	4000
1	-1.1737216	3.1355233	4.2335267	-11.1830435	0.71794873	0.44999817	1.0	0.0	218.0	63.0	1.7993405	0.6363636	0.974359	0.15806189	1.0	0.0	85.0	1.9294189	0.85858583	2.0	0.30103	0.02020202	-6.0112333	0.25028503	-5.539073	-6.2900934	1.0	0.0	1.0	1.0	126.75	2.0	0.3010299956639812	-0.22015814	0.38723725	0.84658825	-0.93526065	7.73679	2.2419233	9.5172	0.0	-0.0014168108	-0.013502391	0.8658017	48.953346	-0.08058003	-6.7071047	1.4168404	0.01568379	0.17375001	21.0	8.011757612228394	8000
2	-2.253234	4.097617	6.255043	-10.606097	0.85294116	0.35416454	1.0	0.0	180.94118	92.0	1.9637878	0.67153287	1.0	0.0	1.0	1.0	119.0	2.075547	0.8686131	2.0	0.30103	0.01459854	-4.2460403	0.08577772	-4.1537657	-4.4321775	1.0	0.0	1.0	1.0	128.625	2.0	0.3010299956639812	-0.33336815	0.30809858	0.752814	-0.8494372	15.535229	1.0427592	16.167727	6.7459307	-0.0013268469	-0.012367669	1.2840285	41.12549	-0.08176705	-6.275467	1.3268361	0.015389588	0.097	29.0	12.26794719696045	12000
3	-1.1497301	4.159033	7.043934	-7.429466	0.9354839	0.2456701	1.0	0.0	156.32259	121.0	2.0827854	0.70348835	1.0	0.0	1.0	1.0	150.0	2.1760912	0.872093	2.0	0.30103	0.011627907	-2.0541718	0.11674553	-1.8907264	-2.2788534	1.0	0.0	1.0	1.0	132.75	2.0	0.3010299956639812	-0.369933	0.33746433	0.5076195	-0.90373904	22.483543	0.08318348	22.549755	21.927351	-0.0013373531	-0.013799707	1.1065723	32.262825	-0.11588593	-4.330286	1.3373759	0.015199445	0.1545	64.0	16.547189235687256	16000
4	-1.157851	3.3098433	7.485509	-6.601163	0.9166667	0.2763854	1.0	0.0	186.16667	143.0	2.1553361	0.715	0.9583333	0.19982632	1.0	0.0	173.0	2.2380462	0.865	3.0	0.47712123	0.015	0.34751368	0.0743805	0.4967258	0.2550461	1.0	0.0	1.0	1.0	152.25	2.0	0.3010299956639812	-0.32269186	0.51071167	1.0976504	-1.1275645	27.974598	0.05619533	28.012228	27.473433	-0.0013279244	-0.011501681	0.822422	23.824848	-0.09100072	-1.1089449	1.3279413	0.013903065	0.123	79.0	20.687213897705078	20000
5	0.236359	3.468032	9.670169	-5.742025	0.8518519	0.35524678	1.0	0.0	200.88889	166.0	2.220108	0.7186147	1.0	0.0	1.0	1.0	200.0	2.30103	0.86580086	3.0	0.47712123	0.012987013	0.7909938	0.05002188	0.9026847	0.73161465	1.0	0.0	1.0	1.0	150.625	2.0	0.3010299956639812	-0.34763354	0.42392224	0.95161015	-0.9955329	30.941715	0.029685717	30.966373	30.71219	-0.001373386	-0.013634618	0.9495931	23.332752	-0.16013458	-1.8317027	1.3733718	0.015255775	0.118	34.0	24.89084768295288	24000
6	-0.9595085	4.2993045	9.226759	-11.119903	0.90909094	0.2874798	1.0	0.0	196.95454	186.0	2.269513	0.7237354	0.95454544	0.2082989	1.0	0.0	221.0	2.3443923	0.8599222	4.0	0.60206	0.015564202	0.3819732	0.03938841	0.434921	0.32125327	1.0	0.0	1.0	1.0	131.5	2.0	0.3010299956639812	-0.103203066	0.3302095	0.8205193	-0.9159625	34.655506	0.03411262	34.67496	34.406948	-0.0013668407	-0.010730678	1.1370003	21.225359	-0.18985811	-0.105181694	1.366833	0.010988814	0.13350001	79.0	28.91821002960205	28000
7	1.0712928	3.4926226	8.2319765	-4.635412	0.9130435	0.28177136	1.0	0.0	191.52174	207.0	2.3159704	0.72887325	1.0	0.0	1.0	1.0	244.0	2.38739	0.85915494	4.0	0.60206	0.014084507	0.23453057	0.030741964	0.28726205	0.18405563	1.0	0.0	1.0	1.0	145.375	2.0	0.3010299956639812	-0.2803396	0.3390991	0.78555244	-1.011115	35.744244	0.007374592	35.752937	35.689358	-0.0013676956	-0.0060753473	1.0295191	20.11052	-0.19243978	-0.22565699	1.367692	0.016796976	0.13299999	7.0	32.86837697029114	32000
8	-0.91501665	3.0726726	6.1671743	-4.968921	0.8695652	0.33678114	1.0	0.0	208.78261	227.0	2.356026	0.7299035	1.0	0.0	1.0	1.0	267.0	2.4265113	0.8585209	4.0	0.60206	0.012861736	0.029600106	0.004368874	0.037132613	0.021633372	1.0	0.0	1.0	1.0	167.125	2.0	0.3010299956639812	0.045723155	0.37434715	0.7536468	-1.0772276	37.049957	0.4872834	37.13389	29.231972	-0.0013970798	-0.005677752	0.78006554	20.055092	-0.1443348	-0.20744705	1.3970697	0.01633304	0.144	5.0	36.697115421295166	36000
9	-0.56133425	2.3486512	4.4943147	-4.9710703	0.85714287	0.3499271	1.0	0.0	227.95238	245.0	2.389166	0.7291667	1.0	0.0	1.0	1.0	288.0	2.4593925	0.85714287	4.0	0.60206	0.011904762	-0.22003886	0.009324138	-0.20536284	-0.23557432	1.0	0.0	1.0	1.0	182.5	2.0	0.3010299956639812	-0.17116275	0.40378976	0.7295537	-0.9654299	38.32109	0.028121544	38.34177	38.14374	-0.0013580471	-0.0034868033	0.5364669	19.786985	-0.04645069	-0.0025863647	1.3580266	0.015883008	0.102	4.0	40.42816519737244	40000
