Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.4606484	2.9580314	0.8340961	-12.167596	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	53.0	1.7242758	0.86885244	0.0	-inf	0.0	-1.5264385	0.06585693	-1.4151374	-1.613672	1.0	0.0	1.0	1.0	152.25	2.0	0.3010299956639812	-0.066955596	0.1484951	0.31299	-0.44884634	0.08695104	0.13733338	0.50778764	0.0	-0.0013761856	-0.0233338	0.74368864	64.966	-0.21740854	-7.9722137	1.3762856	0.0151887555	0.12875	79.0	3.9044137001037598	4000
1	-1.2209847	3.4359767	6.864761	-12.625031	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	85.0	1.9294189	0.87628865	0.0	-inf	0.0	-1.4626973	0.0432274	-1.3944521	-1.5410246	1.0	0.0	1.0	1.0	207.375	2.0	0.3010299956639812	-0.6684041	0.76274985	0.8987321	-3.604555	8.739304	1.0986366	9.390754	0.32067072	-0.0013995301	-0.015703764	0.78114927	42.16147	-0.13767102	-5.188514	1.3994685	0.010819929	0.0765	79.0	7.631632328033447	8000
2	-1.2862971	3.5787253	5.3387594	-10.088263	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	108.0	2.0334237	0.87096775	0.0	-inf	0.0	-3.4554558	0.025145547	-3.401807	-3.4870296	1.0	0.0	1.0	1.0	255.875	2.0	0.3010299956639812	-0.6105082	1.0496706	1.7487817	-5.766345	15.862147	0.26402193	16.036243	12.924351	-0.0014169663	-0.018406436	0.6737722	28.807747	-0.17562237	-1.8259931	1.41693	0.015016783	0.1255	64.0	11.360750675201416	12000
3	-1.1302507	1.8245806	1.3848472	-5.1542826	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	127.0	2.1038036	0.8639456	0.0	-inf	0.0	0.032022573	0.0019660268	0.034177165	0.029203566	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.33508462	0.76658726	2.039664	-3.3419793	20.05103	0.03995399	20.108606	19.79046	-0.0014530495	-0.008482959	0.34354272	24.912333	-0.12174849	-0.65167856	1.4530537	0.015391956	0.14500001	13.0	14.62934398651123	16000
4	-3.1860778	4.0094438	2.1818285	-12.448867	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	139.0	2.143015	0.85276073	0.0	-inf	0.0	0.035192594	0.0042728814	0.04242785	0.030230854	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.32188982	0.8460084	2.4985487	-4.2211213	22.608858	0.24473928	22.743834	20.313107	-0.0014013692	-0.015612295	0.5702379	20.32798	-0.19481164	-0.30127954	1.4013833	0.015061989	0.1125	62.0	17.890727996826172	20000
5	-1.1922526	3.2983122	6.7246633	-5.965386	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.9	0.29999998	1.0	0.0	148.0	2.1702616	0.8361582	0.0	-inf	0.0	0.024930319	0.0035604679	0.030357303	0.02061862	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.8516947	1.1301144	1.4714301	-4.4358788	21.095785	0.1649477	21.20506	19.006401	-0.0014170986	-0.015627483	0.5674412	18.023907	-0.21942922	-0.7816396	1.4170855	0.0133094415	0.152	79.0	21.375121593475342	24000
6	-2.6587093	4.8399625	1.7705657	-13.754595	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.5555556	0.49690402	1.0	0.0	153.0	2.1846914	0.8095238	0.0	-inf	0.0	0.12382439	0.00968441	0.14393778	0.11440314	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.6148649	0.7041507	0.8988472	-3.3919115	18.1127	0.34202045	18.3179	14.75614	-0.0013733283	-0.010673668	0.55680525	16.19592	-0.13550372	-4.8110137	1.3733194	0.015287373	0.14	27.0	24.55358648300171	28000
7	0.029574275	2.576754	4.3334093	-3.929308	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.25	0.4330127	1.0	0.0	155.0	2.1903317	0.7788945	0.0	-inf	0.0	0.022972403	0.011560262	0.040800232	0.005965438	1.0	0.0	1.0	1.0	483.5	2.0	0.3010299956639812	-0.16018301	0.43367946	1.6213149	-2.250842	5.669668	4.0537047	14.323593	0.0	-0.001267517	-0.007392766	0.17411159	7.197918	-0.05092594	-2.0705094	1.2675118	0.015755242	0.18024999	7.0	27.23022174835205	32000
8	-0.14632547	3.1426997	3.046333	-7.608243	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.6	0.48989794	1.0	0.0	161.0	2.206826	0.75586855	0.0	-inf	0.0	0.7516391	0.035659745	0.8163629	0.70858717	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.3441564	1.1079572	3.2134833	-3.9318247	1.3324394	0.82380736	7.813349	0.0	-0.0013827421	-0.014260953	0.5218748	13.177721	-0.19341087	-0.3392625	1.382745	0.008779805	0.17074999	79.0	30.410643577575684	36000
9	5.3701963	3.9097319	11.666221	0.75470054	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.5	0.5	1.0	0.0	165.0	2.217484	0.73333335	0.0	-inf	0.0	0.1445061	0.0054349294	0.14939554	0.13138299	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.14617383	0.5699084	3.5580482	-2.1648982	1.1010796	0.7742544	4.6053267	0.0	-0.0012952336	-0.010265291	0.6541266	9.32138	-0.28110853	-0.4086238	1.2952336	0.015323093	0.124249995	36.0	33.60138416290283	40000
10	-0.37045515	1.698868	1.1974924	-3.5206423	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	165.0	2.217484	0.7081545	0.0	-inf	0.0	0.12236197	0.009115199	0.13793588	0.11047588	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.65096146	0.8472064	5.9092054	-0.82232296	1.1060699	0.7862723	5.5022755	0.46092525	-0.0011590086	-0.009607426	0.17877296	0.4089387	-0.12630849	-0.3573315	1.159021	0.018093262	0.20525	8.0	36.13078284263611	44000
