Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.48400986	1.8692656	1.7366636	-12.33235	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	57.0	1.7558749	0.8769231	0.0	-inf	0.0	0.13096732	0.028019093	0.16582105	0.09371781	1.0	0.0	1.0	1.0	105.625	2.0	0.3010299956639812	0.005348307	0.067379184	0.17351267	-0.2483653	0.005617452	0.02263061	0.16763844	0.0	-0.0015168935	-0.015669899	0.3172611	64.62818	-0.065148875	-7.1829567	1.5168557	0.016420897	0.16975	9.0	5.018487930297852	4000
1	-0.63860625	1.7870408	2.0309522	-6.1462917	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	97.0	1.9867717	0.8981481	0.0	-inf	0.0	-4.6343775	0.1807591	-4.3532395	-4.8716226	1.0	0.0	1.0	1.0	167.125	2.0	0.3010299956639812	-0.06928844	0.35286227	1.1697031	-1.2519604	7.773165	0.9858838	8.734363	0.6896379	-0.0015160614	-0.014912985	0.32998264	49.05873	-0.079930365	-5.6133633	1.5160908	0.015012453	0.13375	13.0	9.64789342880249	8000
2	-0.47339696	2.4012744	4.9411693	-7.056091	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.96	0.19595918	1.0	0.0	121.0	2.0827854	0.8832117	0.0	-inf	0.0	-0.20801851	0.018314647	-0.17560285	-0.23208246	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.30191594	0.25708848	0.5470237	-0.7812491	14.670128	0.7298697	15.116029	8.541729	-0.00143902	-0.016315367	0.6640904	31.439898	-0.10975319	-2.3985262	1.4389703	0.012990575	0.112500004	79.0	14.680906772613525	12000
3	0.8243795	4.3225822	12.218184	-7.603935	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	140.0	2.146128	0.875	0.0	-inf	0.0	1.0373912	0.028620154	1.0802692	0.99581873	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.21101227	0.3564077	0.7325296	-1.2085558	17.55174	3.2423563	19.163406	0.0	-0.0014429986	-0.017231468	1.3416071	26.410921	-0.14797322	-1.2384739	1.4430239	0.015021898	0.1345	43.0	19.67476725578308	16000
4	3.4091215	3.5271928	10.558117	-2.9576693	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	152.0	2.1818435	0.8636364	0.0	-inf	0.0	1.8066423	0.055593327	1.8959668	1.7272295	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.10782213	0.4799099	1.139909	-1.0092975	20.80445	0.19927952	20.925335	19.584661	-0.0014188066	-0.00821011	1.1037683	20.149284	-0.3174977	-0.11795092	1.4187938	0.012208822	0.139	79.0	24.8105411529541	20000
5	1.7771704	3.5631192	7.3223085	-2.8906457	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.7	0.45825756	1.0	0.0	159.0	2.2013972	0.84126985	0.0	-inf	0.0	0.37131852	0.018624716	0.4018968	0.33873335	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.434935	0.48716635	1.1748619	-1.0411997	20.141438	0.19122534	20.25547	18.689781	-0.0014113784	-0.009474874	0.9277054	17.994028	-0.11176194	-1.837132	1.4113799	0.008198658	0.13475001	79.0	29.92172622680664	24000
6	-0.15492982	5.273137	8.347039	-7.515835	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.125	0.3307189	1.0	0.0	160.0	2.20412	0.8080808	0.0	-inf	0.0	0.24083345	0.021814615	0.27414188	0.21029724	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.2944798	0.40314364	1.20278	-0.73412085	15.722752	0.16492967	15.859158	14.924466	-0.0013929419	-0.0055964217	0.9529059	12.739518	-0.09553018	-6.1423817	1.3929677	0.016325789	0.12325	5.0	34.93301200866699	28000
7	1.2308328	5.9092097	8.962326	-11.805068	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.25	0.4330127	1.0	0.0	162.0	2.209515	0.77884614	0.0	-inf	0.0	0.6906072	0.047659386	0.77117693	0.619675	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.099415444	0.29779655	0.7612867	-0.73243773	6.463996	1.9123466	8.833475	3.3359232	-0.0013719723	-0.00630692	0.8686924	7.456951	-0.112598106	-1.9328957	1.3719794	0.015281691	0.14375001	4.0	39.607574224472046	32000
8	2.5658624	4.838174	8.144829	-7.871146	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.375	0.48412293	1.0	0.0	165.0	2.217484	0.75342464	0.0	-inf	0.0	0.8120041	0.10484674	0.9542117	0.64640313	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.34210065	0.2826242	0.94721806	-0.36888486	2.6109211	1.9551355	5.919895	0.067819454	-0.0013999306	-0.004624755	0.89977497	7.87035	-0.07817684	-0.7918689	1.399914	0.015522188	0.151	8.0	44.06051969528198	36000
9	4.5355234	3.3003435	9.0760765	0.07840324	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	165.0	2.217484	0.72687227	0.0	-inf	0.0	6.2011003	0.76280534	7.581161	5.439333	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.47085652	0.24580343	0.96160114	-0.21629678	0.9238074	0.5824846	3.36248	0.0	-0.0013717674	-0.009413576	0.4160745	0.39742702	-0.075942546	-0.36388266	1.3717672	0.0196921	0.16350001	7.0	48.72309446334839	40000
