Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.8279256	2.160588	4.9093933	-8.03476	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	54.0	1.7323937	0.87096775	0.0	-inf	0.0	-1.462107	0.16453615	-1.241949	-1.7148515	1.0	0.0	1.0	1.0	125.625	2.0	0.3010299956639812	-0.05468026	0.10530074	0.15629078	-0.2755297	0.20652322	0.10093443	0.43527752	0.0	-0.0013799742	-0.020123135	0.517727	64.327225	-0.09991138	-8.102382	1.3800106	0.015058236	0.16375	64.0	5.038270473480225	4000
1	-0.8334498	2.150288	3.2872953	-6.4723325	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	95.0	1.9777236	0.88785046	0.0	-inf	0.0	2.682446	0.08639285	2.8427114	2.577147	1.0	0.0	1.0	1.0	400.125	2.0	0.3010299956639812	-0.38623193	0.3116825	0.21678342	-1.0510321	8.943923	0.7683434	9.692228	3.5625396	-0.0013629775	-0.008747221	0.37687555	49.985924	-0.045446582	-6.4974976	1.3629192	0.015088028	0.10625	10.0	9.688153266906738	8000
2	-0.7411228	2.323565	3.2645476	-8.7484865	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	117.0	2.0681858	0.87969923	0.0	-inf	0.0	1.6335506	0.0052565574	1.6410575	1.6269549	1.0	0.0	1.0	1.0	479.125	2.0	0.3010299956639812	-0.2599059	0.4992365	1.1563933	-1.4781439	15.596512	2.5226233	16.38491	0.0	-0.0013788007	-0.016079254	0.5297853	29.188599	-0.13607201	-2.1651425	1.3788135	0.011106822	0.12525001	79.0	14.533589363098145	12000
3	0.17151909	2.0452602	4.432945	-2.3605716	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	136.0	2.133539	0.8717949	0.0	-inf	0.0	1.0507374	0.007846924	1.0602758	1.0365593	1.0	0.0	1.0	1.0	453.5	2.0	0.3010299956639812	-0.14493306	0.37781087	0.796665	-0.9285063	19.541481	1.0761695	19.942575	10.26426	-0.0012874603	-0.014533274	0.43508554	24.427277	-0.09178877	-0.7387285	1.287439	0.013082765	0.10525	79.0	19.32037043571472	16000
4	1.9834856	4.9243116	10.801485	-6.7037945	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	149.0	2.1731863	0.8612717	0.0	-inf	0.0	0.6780891	0.49536064	1.296005	0.012685167	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.07814448	0.40576437	0.9159743	-0.8560644	21.88816	0.09818243	21.95938	21.081709	-0.001327157	-0.017965809	1.068582	20.13598	-0.28807595	-0.024342537	1.3271555	0.013564279	0.1215	79.0	24.011200428009033	20000
5	-0.5215264	1.2930732	1.7386152	-1.8614289	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.5	0.5	1.0	0.0	153.0	2.1846914	0.8360656	0.0	-inf	0.0	-0.012902287	0.005811021	-0.003497808	-0.02043335	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.045677382	0.63824105	1.1044264	-1.0048257	21.970324	0.03401108	22.00781	21.74909	-0.0012615584	-0.013713479	0.50419766	17.559856	-0.17311999	-3.570508	1.2615917	0.009068602	0.12975001	79.0	28.19312357902527	24000
6	1.6268518	2.4964917	7.1448693	-1.7641219	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.7	0.45825756	1.0	0.0	160.0	2.20412	0.81632656	0.0	-inf	0.0	-0.0041247746	0.004452747	0.0023414071	-0.008968344	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.02660027	0.2162246	0.45539874	-0.5207753	16.222013	0.040944874	16.257174	15.858919	-0.0012571365	-0.0144588	0.45470837	16.65203	-0.09017858	-1.0285797	1.2571229	0.014154168	0.15724999	79.0	32.612356424331665	28000
7	1.84898	2.7181098	8.696374	-0.5993622	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.25	0.4330127	1.0	0.0	162.0	2.209515	0.78640777	0.0	-inf	0.0	0.03962913	0.0026537399	0.042312507	0.03437028	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.1405145	0.318466	0.97382873	-0.4385145	12.824494	0.032197133	12.871258	12.599692	-0.0011989549	-0.012323488	0.421708	11.387203	-0.092623204	-4.1055746	1.1989646	0.012208302	0.124	79.0	36.80809164047241	32000
8	2.707756	4.7240186	12.421415	-2.1086338	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.375	0.48412293	1.0	0.0	165.0	2.217484	0.76036865	0.0	-inf	0.0	0.031980112	0.002793442	0.035678696	0.027276054	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.2876232	0.22885647	0.7818304	-0.23236	6.544008	0.024849104	6.5824795	6.4150786	-0.0012520291	-0.008875855	0.5041522	9.091125	-0.073997244	-1.8417915	1.2520449	0.019306716	0.1315	6.0	40.614250898361206	36000
9	1.1891036	3.24559	9.454463	-0.8279415	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.125	0.3307189	1.0	0.0	166.0	2.220108	0.7345133	0.0	-inf	0.0	0.07204848	0.009254264	0.085562035	0.059872895	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.23110452	0.19341424	0.72437006	-0.19445	2.265284	0.020223772	2.2933178	2.0946176	-0.0012079105	-0.0061651617	0.36237383	3.3735957	-0.07474153	-0.95315486	1.2079036	0.01088351	0.18675	79.0	44.6348557472229	40000
