Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-0.59964323	2.508902	6.8703203	-9.043749	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	51.0	1.7075702	0.86440676	0.0	-inf	0.0	1.0946331	0.12017411	1.2558395	0.91202974	1.0	0.0	1.0	1.0	103.875	2.0	0.3010299956639812	0.01852878	0.050605178	0.15246966	-0.12953137	0.17244418	0.12561303	0.53948057	0.0	-0.0014910195	-0.015339674	0.78640425	62.779327	-0.2962476	-7.1161747	1.4909596	0.015321308	0.157	35.0	4.253753662109375	4000
1	-0.6729039	2.8896294	7.393619	-9.652395	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	96.0	1.9822712	0.8888889	0.0	-inf	0.0	-1.852617	0.19214092	-1.6208103	-2.1859698	1.0	0.0	1.0	1.0	148.875	2.0	0.3010299956639812	-0.71047986	0.9207258	1.4701347	-3.2121065	7.6673994	2.8406777	9.538308	0.0	-0.001455769	-0.012989681	0.7497049	54.00639	-0.26874143	-7.3684864	1.4557188	0.015063856	0.0775	16.0	8.46211314201355	8000
2	-0.9829451	3.7196205	7.3285956	-8.49758	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	129.0	2.1105897	0.8896552	0.0	-inf	0.0	-2.869225	0.1199193	-2.6735907	-2.9764302	1.0	0.0	1.0	1.0	146.5	2.0	0.3010299956639812	-0.8146541	1.2244871	0.99408907	-4.946504	15.759127	0.69906294	16.08697	7.105802	-0.0014362186	-0.009382911	0.90111107	39.33418	-0.20706604	-5.697565	1.4361674	0.015984185	0.11525001	8.0	12.599609375	12000
3	-0.5301196	3.5237846	7.923525	-9.562236	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	160.0	2.20412	0.8888889	0.0	-inf	0.0	-2.433724	0.13633817	-2.2110746	-2.5848653	1.0	0.0	1.0	1.0	136.375	2.0	0.3010299956639812	-0.53546554	1.2870545	2.4372785	-5.4755	22.263731	0.16777101	22.380108	21.189133	-0.0014298987	-0.0045744455	0.7991865	32.653263	-0.20979956	-4.119338	1.4299197	0.015236489	0.086	7.0	16.98519778251648	16000
4	0.4901131	2.6645913	8.05121	-5.260317	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	196.0	2.292256	0.8909091	0.0	-inf	0.0	-0.7456191	0.044218764	-0.6720312	-0.79898095	1.0	0.0	1.0	1.0	152.875	2.0	0.3010299956639812	-0.17940857	1.3096409	4.140466	-4.992414	27.68504	0.042746883	27.720547	27.35923	-0.0014320593	-0.016102307	0.69799817	31.178738	-0.29146874	-3.4342184	1.4320879	0.010804544	0.15200001	79.0	21.42118525505066	20000
5	-0.98381925	5.465032	18.176172	-9.588375	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	222.0	2.346353	0.888	0.0	-inf	0.0	-1.0305058	0.054228082	-0.9592963	-1.1250976	1.0	0.0	1.0	1.0	137.25	2.0	0.3010299956639812	0.3167975	0.9887916	3.9222322	-2.8482003	32.61462	0.023623927	32.631584	32.331215	-0.0014558434	-0.008434743	1.1302643	22.252012	-0.3694272	-1.0889578	1.4558544	0.015998416	0.07	8.0	25.52524971961975	24000
6	0.80442446	4.8967314	8.592304	-6.235279	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	246.0	2.3909352	0.8848921	0.0	-inf	0.0	0.4149077	0.024647344	0.46222198	0.37689963	1.0	0.0	1.0	1.0	140.25	2.0	0.3010299956639812	-0.017586738	2.050217	5.5053344	-6.3350525	35.55258	0.058820747	35.580315	34.902714	-0.0014716487	-0.010456907	1.0196198	20.350609	-0.13601427	-0.3627324	1.4716446	0.015119571	0.12875	19.0	29.724517107009888	28000
7	-0.24273297	4.1279335	11.384664	-7.1782207	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	272.0	2.434569	0.8831169	0.0	-inf	0.0	0.26472944	0.060949024	0.33262607	0.11945506	1.0	0.0	1.0	1.0	155.75	2.0	0.3010299956639812	0.45352632	1.974817	7.3913445	-4.1657085	37.299	0.056913957	37.328953	36.829563	-0.0014524627	-0.0064061377	0.8633067	20.377356	-0.2689408	-0.5184221	1.4524639	0.015743636	0.102	5.0	34.19548273086548	32000
8	-0.5405408	3.2584083	7.1485524	-6.446208	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	296.0	2.4712918	0.88095236	0.0	-inf	0.0	-1.0482309	0.6160771	0.016656239	-1.5488021	1.0	0.0	1.0	1.0	270.75	2.0	0.3010299956639812	-0.19894247	1.4031895	5.415027	-4.3876457	39.398186	0.014219554	39.41202	39.31729	-0.0014616642	-0.012695396	0.57793736	20.274572	-0.11135213	-0.0704689	1.4616599	0.015037561	0.14225	42.0	38.45108413696289	36000
9	-0.7573781	4.337804	8.576996	-7.843061	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	317.0	2.5010593	0.87811637	0.0	-inf	0.0	-0.71797025	0.6144389	0.65028554	-1.1278682	0.875	0.3307189	1.0	0.0	313.125	2.0	0.3010299956639812	-0.91452867	1.3744603	4.037633	-5.004044	40.27018	0.0139934225	40.286766	40.183586	-0.0013003582	-0.012130229	0.92677724	19.374104	-0.3326932	-0.014615536	1.300353	0.015224101	0.12975	54.0	42.38719654083252	40000
