Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.8407865	3.3623643	1.2347085	-14.009123	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	48.0	1.6812413	0.85714287	0.0	-inf	0.0	-4.6756535	0.2682033	-4.1166563	-5.04442	1.0	0.0	1.0	1.0	125.125	2.0	0.3010299956639812	-0.054313604	0.108945966	0.16361415	-0.31840375	0.206478	0.11206013	0.45911708	0.0	-0.0013857223	-0.010908031	0.8674867	61.804054	-0.16639242	-7.790143	1.3857075	0.0152785685	0.136	10.0	5.051398754119873	4000
1	-1.5322129	2.89113	2.7190487	-10.053841	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	88.0	1.9444827	0.88	0.0	-inf	0.0	-1.5646098	0.13928305	-1.3812981	-1.7979419	1.0	0.0	1.0	1.0	151.5	2.0	0.3010299956639812	-0.47377765	0.35586783	0.64397895	-1.099384	8.442919	2.1210444	9.725003	0.0	-0.0013890434	-0.013526558	0.85007304	49.914276	-0.12257255	-6.973378	1.3889985	0.015094488	0.1175	15.0	10.191317796707153	8000
2	-1.0931405	4.4778314	6.3791895	-12.800027	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	116.0	2.064458	0.8787879	0.0	-inf	0.0	2.1899374	0.17273033	2.448703	1.9667109	1.0	0.0	1.0	1.0	146.875	2.0	0.3010299956639812	-0.5430677	0.30755362	0.5358276	-0.9470832	16.207302	0.2418076	16.359777	14.190557	-0.0014373045	-0.011852543	1.2247696	34.758865	-0.14269425	-4.3639216	1.437258	0.011238601	0.1215	79.0	15.619536399841309	12000
3	1.350475	4.2694955	7.7451754	-9.667687	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	140.0	2.146128	0.875	0.0	-inf	0.0	4.0778217	0.057656456	4.137016	3.9845877	1.0	0.0	1.0	1.0	152.625	2.0	0.3010299956639812	-0.011189286	0.42657614	0.82442987	-0.9836621	21.876013	0.07311938	21.934069	21.283587	-0.001408942	-0.013958927	1.2262957	27.223343	-0.20776293	-1.8169732	1.4089332	0.015094687	0.15325001	70.0	21.00966167449951	16000
4	1.5859932	4.1329823	10.779599	-6.558506	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	162.0	2.209515	0.87096775	0.0	-inf	0.0	4.3394413	0.051335502	4.4353724	4.2733045	1.0	0.0	1.0	1.0	209.5	2.0	0.3010299956639812	0.18343414	0.45711264	0.8927149	-0.8557835	24.653212	3.7289734	25.677645	0.0	-0.0013481379	-0.010783739	1.2286991	23.746557	-0.14561538	-1.5483851	1.3481891	0.015635654	0.122	20.0	26.28376054763794	20000
5	1.6889857	4.571405	12.543967	-5.579672	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	175.0	2.243038	0.86206895	0.0	-inf	0.0	-2.2469556	0.113222286	-2.0233204	-2.4027045	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.46572855	0.36311075	1.040899	-0.663938	28.475578	0.97528887	28.829655	17.324013	-0.0013715951	-0.01573535	0.91310793	20.589838	-0.11184308	-3.7913554	1.3715891	0.0076349336	0.11375	79.0	31.09428882598877	24000
6	1.6881303	3.292592	9.1198	-3.2503197	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.9230769	0.26646933	1.0	0.0	187.0	2.2718415	0.85	0.0	-inf	0.0	-0.92264456	0.0710667	-0.8294199	-1.0605432	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.22325411	0.38085452	0.99028176	-0.6712438	21.664387	9.234498	28.746881	0.0	-0.0014109984	-0.0077686445	0.7233325	17.98558	-0.07858537	-1.5049045	1.4110082	0.0151196495	0.1615	23.0	36.06613612174988	28000
7	-2.6182034	4.2662506	3.675363	-12.131654	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.44444445	0.49690402	1.0	0.0	191.0	2.2810333	0.8268398	0.0	-inf	0.0	-4.0819125	0.055681914	-3.9810395	-4.1344714	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.13138767	0.37594888	0.9166292	-0.7322421	13.023076	9.78084	29.48934	2.1425264	-0.0011940897	-0.0074168816	0.80634	14.544955	-0.13630313	-5.367505	1.1941178	0.01711578	0.204	4.0	40.4741325378418	32000
8	-5.543005	5.326901	1.3278971	-14.058187	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.5	0.5	1.0	0.0	195.0	2.2900345	0.8057851	0.0	-inf	0.0	-3.2557752	0.24027109	-2.8666961	-3.6198118	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.046811204	0.3128678	0.8412691	-0.79929966	2.6003006	1.5690296	7.5086837	0.8037045	-0.0011422113	-0.004809652	1.321557	9.225362	-0.30401194	-1.68061	1.142233	0.019018868	0.1515	8.0	44.73190236091614	36000
9	-9.610001	5.162139	-0.8223773	-18.742706	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.25	0.4330127	1.0	0.0	197.0	2.2944663	0.78174603	0.0	-inf	0.0	-3.0846968	0.06042708	-3.002101	-3.1885881	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.5023503	0.48869434	0.7459641	-1.2651951	3.1418605	5.4046373	22.947784	0.0	-0.0010892916	-0.0035425369	1.1717126	4.9091516	-0.10497737	-1.5103431	1.0893097	0.017136753	0.21425	6.0	49.483705043792725	40000
