Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.1848706	2.7599132	1.0992976	-10.683673	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	50.0	1.69897	0.86206895	0.0	-inf	0.0	-0.6957072	0.048776776	-0.62595105	-0.78241134	1.0	0.0	1.0	1.0	120.75	2.0	0.3010299956639812	-0.06198131	0.10553093	0.16343407	-0.31547278	0.21539505	0.112553306	0.46388298	0.0	-0.0013749041	-0.016977109	0.60387415	63.842228	-0.07378851	-8.12215	1.3748779	0.015016106	0.17125	75.0	5.014462471008301	4000
1	-2.2086399	3.9803367	2.453629	-13.221068	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	83.0	1.9190781	0.8736842	0.0	-inf	0.0	-2.3189223	0.11432364	-2.136873	-2.4688594	1.0	0.0	1.0	1.0	353.0	2.0	0.3010299956639812	-0.21779436	0.2778244	0.6593687	-1.2339633	8.463325	1.8416234	9.67254	0.0	-0.0013345573	-0.016914904	0.96725917	44.20399	-0.16973084	-5.8037834	1.3345734	0.01474695	0.12825	79.0	9.925926446914673	8000
2	-2.9268746	5.0236177	7.668391	-11.696388	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	102.0	2.0086002	0.86440676	0.0	-inf	0.0	-0.46968412	0.0971276	-0.34837228	-0.6223135	1.0	0.0	1.0	1.0	240.5	2.0	0.3010299956639812	-0.24694651	0.52064073	1.0213052	-1.3246691	15.599211	0.5398631	15.935331	11.552805	-0.0013235621	-0.015690077	1.3565763	27.120722	-0.2533592	-1.6326723	1.3235388	0.015394918	0.12375	51.0	14.894519090652466	12000
3	-1.7518097	4.5763855	7.023483	-10.696221	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	124.0	2.0934217	0.8611111	0.0	-inf	0.0	0.80157137	0.048647474	0.8862176	0.7466711	1.0	0.0	1.0	1.0	225.625	2.0	0.3010299956639812	-0.52674365	0.2801615	0.24831359	-1.104258	19.518703	0.13971423	19.6285	18.741386	-0.0013109818	-0.013552355	1.1108884	26.977432	-0.14598489	-1.5671592	1.310976	0.014441669	0.099750005	79.0	20.212931632995605	16000
4	0.24273908	5.43703	13.121309	-11.209377	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	143.0	2.1553361	0.8562874	0.0	-inf	0.0	1.8158714	0.025649648	1.8501456	1.7631834	1.0	0.0	1.0	1.0	241.0	2.0	0.3010299956639812	-0.3884528	0.5412631	0.9236661	-1.2256572	23.35895	0.043859486	23.393307	22.965025	-0.00129514	-0.015610918	1.3919796	22.846294	-0.1779977	-0.6833873	1.2951355	0.01078019	0.094	79.0	25.1261088848114	20000
5	1.1442227	3.565827	6.749973	-6.399416	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	1.0	0.0	1.0	1.0	159.0	2.2013972	0.85026735	0.0	-inf	0.0	0.20351681	0.014828372	0.21902467	0.17972183	1.0	0.0	1.0	1.0	261.75	2.0	0.3010299956639812	-0.5088123	0.44466755	0.5628524	-1.1036732	26.06294	0.058998633	26.084446	25.056667	-0.0012956031	-0.006578725	0.9562658	20.892511	-0.20332718	-0.04889059	1.2956002	0.017082375	0.12825	7.0	29.694003343582153	24000
6	2.717292	4.6550555	11.030117	-5.987743	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.8181818	0.38569462	1.0	0.0	168.0	2.2253094	0.83168316	0.0	-inf	0.0	0.04526146	0.01866498	0.06387147	0.009290529	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.023935303	0.56004417	0.9533759	-1.0953176	26.821169	0.061781283	26.870516	26.107231	-0.0013406761	-0.0073068505	1.0268302	19.797066	-0.13020673	-1.3518648	1.3406655	0.015896317	0.17675	14.0	34.183130741119385	28000
7	-0.82143575	2.0249794	2.3316483	-3.7812066	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.44444445	0.49690402	1.0	0.0	172.0	2.2355285	0.80751175	0.0	-inf	0.0	-0.0074046114	0.0018035442	-0.0056049917	-0.010823196	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.13085376	0.44347882	1.1761163	-0.77056503	22.994291	0.04392729	23.047598	22.766994	-0.0012696311	-0.009809632	0.44866282	18.168167	-0.09019775	-7.604342	1.2696714	0.020763163	0.2385	6.0	38.49136209487915	32000
8	-0.30815196	4.49039	8.588852	-8.529414	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	172.0	2.2355285	0.77828056	0.0	-inf	0.0	0.18572545	0.011553926	0.20443553	0.1698054	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	-0.0370501	0.43464774	0.78912514	-1.0091158	11.089574	5.7894683	17.317423	0.0	-0.0011983477	-0.011867357	0.58124506	8.56588	-0.104089014	-6.796378	1.1983378	0.017632326	0.229	7.0	42.486552238464355	36000
9	-0.012983888	4.363684	6.977261	-9.795251	0.0	0.0	0.0	0.0	500.0	0.0	-inf	0.0	0.0	0.0	0.0	0.0	172.0	2.2355285	0.7510917	0.0	-inf	0.0	0.7803267	0.032139014	0.8214098	0.7154582	0.0	0.0	0.0	0.0	500.0	2.0	0.3010299956639812	0.081037566	0.22492784	0.5871171	-0.7016558	0.86656886	0.24881762	2.3321142	0.19205762	-0.0012171306	-0.0037095044	0.5059746	0.2900393	-0.036096632	-0.26937965	1.2171638	0.016106592	0.108500004	5.0	46.588473081588745	40000
