Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-2.416092	4.150521	1.316725	-16.866274	1.0	0.0	1.0	1.0	84.65909	44.0	1.6434526	0.84615386	1.0	0.0	1.0	1.0	44.0	1.6434526	0.84615386	44.0	1.6434526	0.84615386	-2.773338	0.2561865	-2.5016541	-3.179239	1.0	0.0	1.0	1.0	100.0	2.0	0.3010299956639812	-0.08604667	0.16123934	0.3307845	-0.455714	0.10584862	0.15181682	0.50546265	0.0	-0.001379123	-0.017397787	1.5357583	59.03016	-0.40653288	-7.4904385	1.3791614	0.01269594	0.1555	79.0	1.324493169784546	4000
1	-2.3028896	3.121008	3.7107592	-9.956785	1.0	0.0	1.0	1.0	110.32353	78.0	1.8920946	0.8666667	1.0	0.0	1.0	1.0	78.0	1.8920946	0.8666667	78.0	1.8920946	0.8666667	-3.4584868	0.06799547	-3.3575177	-3.5343082	1.0	0.0	1.0	1.0	123.625	2.1025421619415283	0.32274471339502	-1.5841633	1.1545204	0.66380376	-4.750022	9.0356	0.5020481	9.498985	4.3739266	-0.0013751853	-0.011518265	0.7107482	44.78487	-0.15892416	-6.2852926	1.3751912	0.009340206	0.1155	79.0	2.6304032802581787	8000
2	-3.2521071	4.30143	3.2857218	-14.366279	1.0	0.0	1.0	1.0	128.5	108.0	2.0334237	0.87096775	1.0	0.0	1.0	1.0	108.0	2.0334237	0.87096775	108.0	2.0334237	0.87096775	-7.539914	0.07779048	-7.4309626	-7.705103	1.0	0.0	1.0	1.0	167.0	2.210451364517212	0.34448096377744236	-1.6024804	1.547097	0.9720949	-5.851523	16.545963	0.18007183	16.709059	14.965024	-0.0013593724	-0.016129011	0.9769618	34.705235	-0.29095018	-4.423125	1.3594061	0.015002172	0.1495	68.0	3.933039903640747	12000
3	-4.015474	5.102675	4.996643	-13.929184	1.0	0.0	1.0	1.0	160.34782	131.0	2.1172712	0.86754966	1.0	0.0	1.0	1.0	131.0	2.1172712	0.86754966	131.0	2.1172712	0.86754966	-11.605172	0.18012512	-11.355671	-11.798907	1.0	0.0	1.0	1.0	229.625	2.3240902423858643	0.3662529873195469	-1.9880791	1.7603043	1.8556244	-7.4693995	22.33136	0.2984647	22.437397	14.2224245	-0.0013891067	-0.0143288635	1.1347308	25.642492	-0.18773465	-1.6723943	1.3891214	0.0119148865	0.104499996	79.0	5.304179668426514	16000
4	-4.033762	8.331765	13.640822	-13.255531	1.0	0.0	1.0	1.0	226.53334	146.0	2.164353	0.85882354	1.0	0.0	1.0	1.0	146.0	2.164353	0.85882354	146.0	2.164353	0.85882354	-3.2294087	0.07020058	-3.125597	-3.3186939	0.0	0.0	0.0	0.0	500.0	2.443852424621582	0.3880749768947436	-1.9200808	1.7726669	2.256469	-7.000636	25.71574	0.9699967	26.0318	15.91268	-0.001421921	-0.016152447	1.664712	20.752151	-0.45577106	-0.63537407	1.4219332	0.010538	0.10475	79.0	6.829710245132446	20000
5	-5.1817036	5.4797955	7.5169005	-13.215583	0.7692308	0.42132503	1.0	0.0	293.76923	156.0	2.1931245	0.8342246	0.7692308	0.42132503	1.0	0.0	156.0	2.1931245	0.8342246	156.0	2.1931245	0.8342246	-0.07348545	0.004407045	-0.06560998	-0.07931882	0.0	0.0	0.0	0.0	500.0	2.5701653957366943	0.40996107202565407	-1.5534779	1.8168491	3.196708	-9.735075	24.240004	6.391976	26.441422	0.0	-0.0014113635	-0.013460766	1.404547	21.473997	-0.41253984	-3.3963742	1.4113697	0.01501359	0.1375	77.0	8.341969728469849	24000
6	-1.3860762	6.936154	10.378468	-15.477998	0.6666667	0.47140452	1.0	0.0	366.77777	162.0	2.209515	0.81407034	0.6666667	0.47140452	1.0	0.0	162.0	2.209515	0.81407034	162.0	2.209515	0.81407034	-0.726828	0.16115123	-0.5206316	-0.98015857	0.0	0.0	0.0	0.0	500.0	2.7019505500793457	0.4316773964905306	-1.6762544	1.9339164	2.6288385	-7.9152894	17.171621	4.9783807	22.840794	5.545912	-0.001329124	-0.008988647	1.8155433	16.933674	-0.90828353	-3.9605522	1.3291297	0.017200373	0.17975	5.0	9.643527030944824	28000
7	-7.296827	5.0086823	-1.5087464	-21.740362	1.0	0.0	1.0	1.0	253.91667	174.0	2.2405493	0.80930233	1.0	0.0	1.0	1.0	174.0	2.2405493	0.80930233	174.0	2.2405493	0.80930233	-0.33857104	0.029326316	-0.3058249	-0.38596576	0.0	0.0	0.0	0.0	500.0	2.8389415740966797	0.4531564547630845	-0.27564403	0.71624774	2.5321586	-4.083456	5.6840076	2.060522	10.616886	0.0	-0.0012935456	-0.0051061925	1.5508397	22.527742	-1.0464034	-2.5358331	1.2935357	0.015282653	0.107	5.0	10.949548959732056	32000
8	-4.7337523	4.7640095	1.5433595	-15.169209	0.72727275	0.44536176	1.0	0.0	297.72726	182.0	2.2600713	0.79130435	0.72727275	0.44536176	1.0	0.0	182.0	2.2600713	0.79130435	182.0	2.2600713	0.79130435	-0.005529056	0.0015854054	-0.0035484112	-0.008162952	0.0	0.0	0.0	0.0	500.0	2.9847710132598877	0.47491101838254246	-1.763364	1.2849422	2.4968777	-5.6720004	12.050135	2.5689428	19.829386	5.321417	-0.0012563784	-0.020699747	0.86637115	16.563282	-0.34113395	-1.2084472	1.2563822	0.0118820835	0.1255	79.0	12.469172239303589	36000
9	1.5035683	5.6961207	11.870072	-9.204851	0.125	0.3307189	1.0	0.0	487.125	183.0	2.2624512	0.7656904	0.125	0.3307189	1.0	0.0	183.0	2.2624512	0.7656904	183.0	2.2624512	0.7656904	-0.00023497846	0.00047799404	0.0005662955	-0.0007939297	0.0	0.0	0.0	0.0	500.0	3.137784957885742	0.49662317672582745	-1.349612	1.2197094	1.5564201	-5.0803137	7.812547	3.2118852	17.705519	4.699499	-0.0012419708	-0.012503958	1.0111611	6.623467	-0.51085025	-3.4049034	1.241967	0.008075627	0.14775	79.0	13.990174531936646	40000
