Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	LossPi	DeltaLossPi	LossV	LossVC	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
0	-1.1941484	2.7267072	4.914987	-9.1734915	4.456303	2.8161585	18.935627	1.8501205	77.20408	218.35886	2.339171	3.830857	4.456303	2.8161585	18.935627	1.8501205	218.35886	2.339171	3.830857	49.0	1.690196	0.8596491	0.55409175	0.16791022	0.728124	0.21904358	5.444351	0.35265368	5.920927	4.9313235	99.25	2.0	0.3010299956639812	0.007592365	0.051638093	0.10445258	-0.15162294	0.18653458	0.13477403	0.5815146	0.0	-0.0015006941	-0.009482786	0.892131	62.024956	-0.31214264	-7.332676	1.5007384	0.015522838	0.1305	18.0	1.1367988586425781	4000
1	-1.3652735	2.5777888	2.7820227	-9.8190775	4.464238	1.541002	7.309308	1.9245319	85.25581	410.3211	2.613124	3.9453952	4.464238	1.541002	7.309308	1.9245319	410.3211	2.613124	3.9453952	92.0	1.9637878	0.88461536	-0.55521077	0.022008594	-0.5242772	-0.60055643	5.220086	0.36726624	5.733384	4.763123	121.25	2.1025421619415283	0.32274471339502	-0.7224626	0.6985987	0.6944395	-2.816841	7.9556856	2.547379	9.547074	0.0	-0.0014655162	-0.015966313	0.57065904	51.93753	-0.1107044	-6.767872	1.4654814	0.0150417425	0.091000006	51.0	2.364661931991577	8000
2	-2.476212	3.512775	2.3000586	-11.295449	5.9336343	7.954265	44.31538	1.968174	111.878784	606.13104	2.7825665	4.298802	5.9336343	7.954265	44.31538	1.968174	606.13104	2.7825665	4.298802	125.0	2.09691	0.8865248	-2.4556267	0.101797715	-2.3417854	-2.6806443	2.2573647	0.22823577	2.6274395	1.8667393	123.0	2.210453987121582	0.3444814790486439	-1.0845746	1.0163459	0.82812405	-4.4367743	15.358074	0.8840055	15.815862	5.600409	-0.0014763577	-0.014682939	0.7941425	38.935745	-0.22409715	-5.2517285	1.4763713	0.015091132	0.14025	73.0	3.6700236797332764	12000
3	-1.8437585	3.3320322	3.7888944	-8.474504	3.4737535	2.2729676	10.799862	1.8209743	124.5	710.3436	2.8514686	4.0591063	3.4737535	2.2729676	10.799862	1.8209743	710.3436	2.8514686	4.0591063	155.0	2.1903317	0.8857143	-0.9871298	0.10358629	-0.87016004	-1.2060694	2.24195	0.33602494	2.7216148	1.8172741	119.25	2.3235702514648438	0.36615580759272304	-1.1836852	1.389177	1.4741464	-6.486241	21.819727	0.2537188	21.941658	17.590471	-0.0014519934	-0.007755519	0.59043884	32.107933	-0.1466608	-4.56766	1.4519854	0.01624247	0.1305	21.0	4.807537794113159	16000
4	-1.3075801	4.3845663	6.331869	-11.600471	4.1423345	4.148958	20.640015	1.8120975	127.96429	837.77344	2.9231267	4.0472145	4.1423345	4.148958	20.640015	1.8120975	837.77344	2.9231267	4.0472145	183.0	2.2624512	0.884058	-0.71265185	0.12166717	-0.57732785	-0.91678226	2.3227112	0.27032632	2.7166862	1.8772717	126.0	2.440514087677002	0.3874813189307602	-0.62146384	1.5796317	3.005849	-5.185338	27.600788	0.07444363	27.641468	26.682396	-0.0014691686	-0.0075711645	0.79701763	25.885336	-0.25120163	-2.193008	1.4691398	0.01578793	0.13225001	11.0	5.925732612609863	20000
5	-2.6099079	3.28133	4.1822877	-9.32702	3.256428	1.50336	7.946388	1.9960537	137.24	924.9829	2.9661336	3.919419	3.256428	1.50336	7.946388	1.9960537	924.9829	2.9661336	3.919419	208.0	2.3180633	0.88135594	-0.7847663	0.12009919	-0.65493	-0.9953977	2.4041111	0.17228226	2.7023048	2.200632	131.375	2.563932418823242	0.4089065736865012	-0.81002593	1.5912753	5.68326	-5.2773366	31.713192	0.04666354	31.737755	31.354523	-0.0014555827	-0.011209007	0.6041287	22.23452	-0.27191222	-0.8970647	1.4555838	0.010642597	0.10175	79.0	7.246532440185547	24000
6	-0.6243698	5.110114	8.270677	-12.629075	3.4231696	2.1185946	11.852682	1.9924946	147.04	1010.56213	3.004563	3.813442	3.4231696	2.1185946	11.852682	1.9924946	1010.56213	3.004563	3.813442	233.0	2.3673558	0.8792453	0.0035093576	1.2450734	0.76267433	-3.2742152	2.379054	0.37050736	3.1626434	1.8937168	177.75	2.6925458908081055	0.43016311399597584	-0.9033048	1.2369516	2.3973212	-5.247831	34.437424	0.04189897	34.464264	34.17055	-0.0014415868	-0.012038805	1.1514509	20.818144	-0.3370445	-0.6360831	1.4416115	0.015129077	0.139	52.0	8.52307677268982	28000
7	-0.7917454	3.9502637	9.050797	-7.277237	3.9303322	4.394815	23.635992	1.8906803	157.04546	1117.3958	3.048207	3.839848	3.9303322	4.394815	23.635992	1.8906803	1117.3958	3.048207	3.839848	255.0	2.4065402	0.87628865	1.198824	0.09181129	1.3315909	1.0899553	2.3860152	0.23367544	2.7358913	2.0250034	139.25	2.8277134895324707	0.4514354036331341	-0.39020887	1.5285106	5.124139	-4.774851	36.784298	0.028798549	36.806156	36.54195	-0.0014699893	-0.012638058	0.63877165	19.83252	-0.1195601	-0.05124426	1.4699854	0.01586307	0.13700001	21.0	9.67461371421814	32000
8	1.8514218	3.579937	10.448869	-8.4871645	2.7687824	0.8639836	6.3457575	1.8775997	152.4	1186.6152	3.0743098	3.7081726	2.7687824	0.8639836	6.3457575	1.8775997	1186.6152	3.0743098	3.7081726	280.0	2.447158	0.875	2.3347301	0.06357965	2.442518	2.2310972	2.1780055	0.22066155	2.6738892	1.9149933	131.5	2.9711294174194336	0.472921569355667	0.08635399	1.2961994	5.912264	-3.8263974	37.53743	0.026041416	37.555916	37.32074	-0.001441637	-0.012129056	0.6126848	19.778208	-0.21026924	-0.3207922	1.4416375	0.015063036	0.13875	62.0	10.935795545578003	36000
9	1.8162364	3.270724	6.911976	-8.400192	2.5581248	0.5174773	4.235783	1.7932129	155.25	1248.0103	3.096218	3.5862365	2.5581248	0.5174773	4.235783	1.7932129	1248.0103	3.096218	3.5862365	304.0	2.4828737	0.87356323	2.0765204	0.07735756	2.2616372	2.0133631	2.1864057	0.32462457	2.7539005	1.8235302	138.125	3.1204285621643066	0.4942142444676225	0.43761438	1.4423258	4.8548646	-5.272467	39.27614	0.013160517	39.28483	39.12476	-0.0013773832	-0.0041189604	0.4233382	18.920464	-0.14189997	-0.10173988	1.3773763	0.018991068	0.15375	5.0	12.045133352279663	40000
